Genes	KEGG_ID	Metabolism	Pathways	Genes_name	Isoforms
CBS	hsa00260 / hsa00270 / hsa00670	Amino acid metabolism / Metabolism of cofactors and vitamins	Glycine, serine and threonine metabolism - Homo sapiens (human) / Cysteine and methionine metabolism - Homo sapiens (human) / One carbon pool by folate - Homo sapiens (human)	cystathionine	cystathionine beta-synthase   / cystathionine beta-synthase like
CD38	hsa00760	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism - Homo sapiens (human)	CD38	CD38 molecule
CDA	hsa00240	Nucleotide metabolism	Pyrimidine metabolism - Homo sapiens (human)	cytidine	cytidine deaminase
CDIPT	hsa00562 / hsa00564	Carbohydrate metabolism / Lipid metabolism	Inositol phosphate metabolism - Homo sapiens (human) / Glycerophospholipid metabolism - Homo sapiens (human)	CDP-diacylglycerol--inositol	CDP-diacylglycerol--inositol 3-phosphatidyltransferase
CDO1	hsa00270 / hsa00430	Amino acid metabolism / Metabolism of other amino acids	Cysteine and methionine metabolism - Homo sapiens (human) / Taurine and hypotaurine metabolism - Homo sapiens (human)	cysteine	cysteine dioxygenase type 1
CDS1	hsa00564	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human)	CDP-diacylglycerol	CDP-diacylglycerol synthase 1
CDS2	hsa00564	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human)	CDP-diacylglycerol	CDP-diacylglycerol synthase 2
CEL	hsa00100 / hsa00561	Lipid metabolism	Steroid biosynthesis - Homo sapiens (human) / Glycerolipid metabolism - Homo sapiens (human)	carboxyl	carboxyl ester lipase
CEPT1	hsa00564 / hsa00565 / hsa00440	Lipid metabolism / Metabolism of other amino acids	Glycerophospholipid metabolism - Homo sapiens (human) / Ether lipid metabolism - Homo sapiens (human) / Phosphonate and phosphinate metabolism - Homo sapiens (human)	choline/ethanolamine	choline/ethanolamine phosphotransferase 1
CERK	hsa00600	Lipid metabolism	Sphingolipid metabolism - Homo sapiens (human)	ceramide	ceramide kinase
CERS1	hsa00600	Lipid metabolism	Sphingolipid metabolism - Homo sapiens (human)	ceramide	ceramide synthase 1
CERS2	hsa00600	Lipid metabolism	Sphingolipid metabolism - Homo sapiens (human)	ceramide	ceramide synthase 2
CERS3	hsa00600	Lipid metabolism	Sphingolipid metabolism - Homo sapiens (human)	ceramide	ceramide synthase 3
CERS4	hsa00600	Lipid metabolism	Sphingolipid metabolism - Homo sapiens (human)	ceramide	ceramide synthase 4
CERS5	hsa00600	Lipid metabolism	Sphingolipid metabolism - Homo sapiens (human)	ceramide	ceramide synthase 5
CERS6	hsa00600	Lipid metabolism	Sphingolipid metabolism - Homo sapiens (human)	ceramide	ceramide synthase 6
CH25H	hsa00120	Lipid metabolism	Primary bile acid biosynthesis - Homo sapiens (human)	cholesterol	cholesterol 25-hydroxylase
CHAC1	hsa00480	Metabolism of other amino acids	Glutathione metabolism - Homo sapiens (human)	ChaC	ChaC glutathione specific gamma-glutamylcyclotransferase 1
CHAC2	hsa00480	Metabolism of other amino acids	Glutathione metabolism - Homo sapiens (human)	ChaC	ChaC glutathione specific gamma-glutamylcyclotransferase 2
CHAT	hsa00564	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human)	choline	choline O-acetyltransferase
CHDH	hsa00260 / hsa00670	Amino acid metabolism / Metabolism of cofactors and vitamins	Glycine, serine and threonine metabolism - Homo sapiens (human) / One carbon pool by folate - Homo sapiens (human)	choline	choline dehydrogenase
CHIA	hsa00520	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)	chitinase	chitinase acidic
CHIT1	hsa00520	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)	chitinase	chitinase 1
CHKA	hsa00564	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human)	choline	choline kinase alpha
CHKB	hsa00564	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human)	choline	choline kinase beta
CHPT1	hsa00564 / hsa00565 / hsa00440	Lipid metabolism / Metabolism of other amino acids	Glycerophospholipid metabolism - Homo sapiens (human) / Ether lipid metabolism - Homo sapiens (human) / Phosphonate and phosphinate metabolism - Homo sapiens (human)	choline	choline phosphotransferase 1
CKB	hsa00330	Amino acid metabolism	Arginine and proline metabolism - Homo sapiens (human)	creatine	creatine kinase B
CKM	hsa00330	Amino acid metabolism	Arginine and proline metabolism - Homo sapiens (human)	creatine	creatine kinase, M-type
CKMT1A	hsa00330	Amino acid metabolism	Arginine and proline metabolism - Homo sapiens (human)	creatine	creatine kinase, mitochondrial 1A
CKMT1B	hsa00330	Amino acid metabolism	Arginine and proline metabolism - Homo sapiens (human)	creatine	creatine kinase, mitochondrial 1B
CKMT2	hsa00330	Amino acid metabolism	Arginine and proline metabolism - Homo sapiens (human)	creatine	creatine kinase, mitochondrial 2
CMAS	hsa00520	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)	cytidine	cytidine monophosphate N-acetylneuraminic acid synthetase
CMPK1	hsa00240	Nucleotide metabolism	Pyrimidine metabolism - Homo sapiens (human)	cytidine/uridine	cytidine/uridine monophosphate kinase 1
CMPK2	hsa00240	Nucleotide metabolism	Pyrimidine metabolism - Homo sapiens (human)	cytidine/uridine	cytidine/uridine monophosphate kinase 2
CNDP1	hsa00330 / hsa00340 / hsa00410	Amino acid metabolism / Metabolism of other amino acids	Arginine and proline metabolism - Homo sapiens (human) / Histidine metabolism - Homo sapiens (human) / beta-Alanine metabolism - Homo sapiens (human)	carnosine	carnosine dipeptidase 1
CNDP2	hsa00330 / hsa00340 / hsa00410	Amino acid metabolism / Metabolism of other amino acids	Arginine and proline metabolism - Homo sapiens (human) / Histidine metabolism - Homo sapiens (human) / beta-Alanine metabolism - Homo sapiens (human)	carnosine	carnosine dipeptidase 2
COASY	hsa00770	Metabolism of cofactors and vitamins	Pantothenate and CoA biosynthesis - Homo sapiens (human)	Coenzyme	Coenzyme A synthase
COLGALT1	hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	collagen	collagen beta(1-O)galactosyltransferase 1
COLGALT2	hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	collagen	collagen beta(1-O)galactosyltransferase 2
COMT	hsa00140 / hsa00350	Lipid metabolism / Amino acid metabolism	Steroid hormone biosynthesis - Homo sapiens (human) / Tyrosine metabolism - Homo sapiens (human)	catechol-O-methyltransferase	catechol-O-methyltransferase
COQ2	hsa00130	Metabolism of cofactors and vitamins	Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human)	coenzyme	coenzyme Q2, polyprenyltransferase
COQ3	hsa00130	Metabolism of cofactors and vitamins	Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human)	coenzyme	coenzyme Q3, methyltransferase
COQ5	hsa00130	Metabolism of cofactors and vitamins	Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human)	coenzyme	coenzyme Q5, methyltransferase
COQ6	hsa00130	Metabolism of cofactors and vitamins	Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human)	coenzyme	coenzyme Q6, monooxygenase
COQ7	hsa00130	Metabolism of cofactors and vitamins	Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human)	coenzyme	coenzyme Q7, hydroxylase
SYNJ2BP-COX16	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	cytochrome	cytochrome c oxidase subunit I
COX10	hsa00190 / hsa00860	Energy metabolism / Metabolism of cofactors and vitamins	Oxidative phosphorylation - Homo sapiens (human) / Porphyrin metabolism - Homo sapiens (human)	cytochrome	cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10
COX11	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	cytochrome	cytochrome c oxidase copper chaperone COX11
COX15	hsa00190 / hsa00860	Energy metabolism / Metabolism of cofactors and vitamins	Oxidative phosphorylation - Homo sapiens (human) / Porphyrin metabolism - Homo sapiens (human)	cytochrome	cytochrome c oxidase assembly homolog COX15
COX17	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	cytochrome	cytochrome c oxidase copper chaperone COX17
COA3	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	cytochrome	cytochrome c oxidase subunit II
COA5	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	cytochrome	cytochrome c oxidase subunit III
COX4I1	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	cytochrome	cytochrome c oxidase subunit 4I1
COX4I2	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	cytochrome	cytochrome c oxidase subunit 4I2
COX5A	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	cytochrome	cytochrome c oxidase subunit 5A
COX5B	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	cytochrome	cytochrome c oxidase subunit 5B
COX6A1	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	cytochrome	cytochrome c oxidase subunit 6A1
COX6A2	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	cytochrome	cytochrome c oxidase subunit 6A2
COX6B1	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	cytochrome	cytochrome c oxidase subunit 6B1
COX6B2	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	cytochrome	cytochrome c oxidase subunit 6B2
COX6C	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	cytochrome	cytochrome c oxidase subunit 6C
COX7A1	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	cytochrome	cytochrome c oxidase subunit 7A1
COX7A2	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	cytochrome	cytochrome c oxidase subunit 7A2
COX7A2L	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	cytochrome	cytochrome c oxidase subunit 7A2 like
COX7B	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	cytochrome	cytochrome c oxidase subunit 7B
COX7B2	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	cytochrome	cytochrome c oxidase subunit 7B2
COX7C	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	cytochrome	cytochrome c oxidase subunit 7C
COX8A	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	cytochrome	cytochrome c oxidase subunit 8A
COX8C	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	cytochrome	cytochrome c oxidase subunit 8C
CP	hsa00860	Metabolism of cofactors and vitamins	Porphyrin metabolism - Homo sapiens (human)	ceruloplasmin	ceruloplasmin
CPOX	hsa00860	Metabolism of cofactors and vitamins	Porphyrin metabolism - Homo sapiens (human)	coproporphyrinogen	coproporphyrinogen oxidase
CPS1	hsa00910 / hsa00250 / hsa00220	Energy metabolism / Amino acid metabolism	Nitrogen metabolism - Homo sapiens (human) / Alanine, aspartate and glutamate metabolism - Homo sapiens (human) / Arginine biosynthesis - Homo sapiens (human)	carbamoyl-phosphate	carbamoyl-phosphate synthase 1
CPT1A	hsa00071	Lipid metabolism	Fatty acid degradation - Homo sapiens (human)	carnitine	carnitine palmitoyltransferase 1A
CPT1B	hsa00071	Lipid metabolism	Fatty acid degradation - Homo sapiens (human)	carnitine	carnitine palmitoyltransferase 1B
CPT1C	hsa00071	Lipid metabolism	Fatty acid degradation - Homo sapiens (human)	carnitine	carnitine palmitoyltransferase 1C
CPT2	hsa00071	Lipid metabolism	Fatty acid degradation - Homo sapiens (human)	carnitine	carnitine palmitoyltransferase 2
CRLS1	hsa00564	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human)	cardiolipin	cardiolipin synthase 1
ISPD	hsa00040	Carbohydrate metabolism	Pentose and glucuronate interconversions - Homo sapiens (human)	CDP-L-ribitol	CDP-L-ribitol pyrophosphorylase A
CRYL1	hsa00040	Carbohydrate metabolism	Pentose and glucuronate interconversions - Homo sapiens (human)	crystallin	crystallin lambda 1
CS	hsa00020 / hsa00630	Carbohydrate metabolism	Citrate cycle (TCA cycle) - Homo sapiens (human) / Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)	citrate	citrate synthase
CSAD	hsa00410 / hsa00430 / hsa00770	Metabolism of other amino acids / Metabolism of cofactors and vitamins	beta-Alanine metabolism - Homo sapiens (human) / Taurine and hypotaurine metabolism - Homo sapiens (human) / Pantothenate and CoA biosynthesis - Homo sapiens (human)	cysteine	cysteine sulfinic acid decarboxylase
CTH	hsa00260 / hsa00270 / hsa00450 / hsa00670	Amino acid metabolism / Metabolism of other amino acids / Metabolism of cofactors and vitamins	Glycine, serine and threonine metabolism - Homo sapiens (human) / Cysteine and methionine metabolism - Homo sapiens (human) / Selenocompound metabolism - Homo sapiens (human) / One carbon pool by folate - Homo sapiens (human)	cystathionine	cystathionine gamma-lyase
CTPS1	hsa00240	Nucleotide metabolism	Pyrimidine metabolism - Homo sapiens (human)	CTP	CTP synthase 1
CTPS2	hsa00240	Nucleotide metabolism	Pyrimidine metabolism - Homo sapiens (human)	CTP	CTP synthase 2
CYB5R1	hsa00520	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)	cytochrome	cytochrome b5 reductase 1
CYB5R2	hsa00520	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)	cytochrome	cytochrome b5 reductase 2
CYB5R3	hsa00520	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)	cytochrome	cytochrome b5 reductase 3
CYB5R4	hsa00520	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)	cytochrome	cytochrome b5 reductase 4
CYB5RL	hsa00520	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)	cytochrome	cytochrome b5 reductase like
CYC1	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	cytochrome	cytochrome c1
CYCS	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	cytochrome	cytochrome c, somatic
CYP11A1	hsa00140	Lipid metabolism	Steroid hormone biosynthesis - Homo sapiens (human)	cytochrome	cytochrome P450 family 11 subfamily A member 1
CYP11B1	hsa00140	Lipid metabolism	Steroid hormone biosynthesis - Homo sapiens (human)	cytochrome	cytochrome P450 family 11 subfamily B member 1
CYP11B2	hsa00140	Lipid metabolism	Steroid hormone biosynthesis - Homo sapiens (human)	cytochrome	cytochrome P450 family 11 subfamily B member 2
CYP17A1	hsa00140	Lipid metabolism	Steroid hormone biosynthesis - Homo sapiens (human)	cytochrome	cytochrome P450 family 17 subfamily A member 1
CYP19A1	hsa00140	Lipid metabolism	Steroid hormone biosynthesis - Homo sapiens (human)	cytochrome	cytochrome P450 family 19 subfamily A member 1
CYP1A1	hsa00140 / hsa00380 / hsa00830	Lipid metabolism / Amino acid metabolism / Metabolism of cofactors and vitamins	Steroid hormone biosynthesis - Homo sapiens (human) / Tryptophan metabolism - Homo sapiens (human) / Retinol metabolism - Homo sapiens (human)	cytochrome	cytochrome P450 family 1 subfamily A member 1
CYP1A2	hsa00140 / hsa00591 / hsa00380 / hsa00830	Lipid metabolism / Amino acid metabolism / Metabolism of cofactors and vitamins	Steroid hormone biosynthesis - Homo sapiens (human) / Linoleic acid metabolism - Homo sapiens (human) / Tryptophan metabolism - Homo sapiens (human) / Retinol metabolism - Homo sapiens (human)	cytochrome	cytochrome P450 family 1 subfamily A member 2
CYP1B1	hsa00140 / hsa00380	Lipid metabolism / Amino acid metabolism	Steroid hormone biosynthesis - Homo sapiens (human) / Tryptophan metabolism - Homo sapiens (human)	cytochrome	cytochrome P450 family 1 subfamily B member 1
CYP21A2	hsa00140	Lipid metabolism	Steroid hormone biosynthesis - Homo sapiens (human)	cytochrome	cytochrome P450 family 21 subfamily A member 2
CYP24A1	hsa00100	Lipid metabolism	Steroid biosynthesis - Homo sapiens (human)	cytochrome	cytochrome P450 family 24 subfamily A member 1
CYP26A1	hsa00830	Metabolism of cofactors and vitamins	Retinol metabolism - Homo sapiens (human)	cytochrome	cytochrome P450 family 26 subfamily A member 1
CYP26B1	hsa00830	Metabolism of cofactors and vitamins	Retinol metabolism - Homo sapiens (human)	cytochrome	cytochrome P450 family 26 subfamily B member 1
CYP26C1	hsa00830	Metabolism of cofactors and vitamins	Retinol metabolism - Homo sapiens (human)	cytochrome	cytochrome P450 family 26 subfamily C member 1
CYP27A1	hsa00120	Lipid metabolism	Primary bile acid biosynthesis - Homo sapiens (human)	cytochrome	cytochrome P450 family 27 subfamily A member 1
CYP27B1	hsa00100	Lipid metabolism	Steroid biosynthesis - Homo sapiens (human)	cytochrome	cytochrome P450 family 27 subfamily B member 1
CYP27C1	hsa00830	Metabolism of cofactors and vitamins	Retinol metabolism - Homo sapiens (human)	cytochrome	cytochrome P450 family 27 subfamily C member 1
CYP2A6	hsa00830	Metabolism of cofactors and vitamins	Retinol metabolism - Homo sapiens (human)	cytochrome	cytochrome P450 family 2 subfamily A member 6
CYP2A7	hsa00830	Metabolism of cofactors and vitamins	Retinol metabolism - Homo sapiens (human)	cytochrome	cytochrome P450 family 2 subfamily A member 7
CYP2B6	hsa00590 / hsa00830	Lipid metabolism / Metabolism of cofactors and vitamins	Arachidonic acid metabolism - Homo sapiens (human) / Retinol metabolism - Homo sapiens (human)	cytochrome	cytochrome P450 family 2 subfamily B member 6
CYP2C18	hsa00830	Metabolism of cofactors and vitamins	Retinol metabolism - Homo sapiens (human)	cytochrome	cytochrome P450 family 2 subfamily C member 18
CYP2C19	hsa00590 / hsa00591	Lipid metabolism	Arachidonic acid metabolism - Homo sapiens (human) / Linoleic acid metabolism - Homo sapiens (human)	cytochrome	cytochrome P450 family 2 subfamily C member 19
CYP2C8	hsa00590 / hsa00591 / hsa00830	Lipid metabolism / Metabolism of cofactors and vitamins	Arachidonic acid metabolism - Homo sapiens (human) / Linoleic acid metabolism - Homo sapiens (human) / Retinol metabolism - Homo sapiens (human)	cytochrome	cytochrome P450 family 2 subfamily C member 8
CYP2C9	hsa00590 / hsa00591 / hsa00830	Lipid metabolism / Metabolism of cofactors and vitamins	Arachidonic acid metabolism - Homo sapiens (human) / Linoleic acid metabolism - Homo sapiens (human) / Retinol metabolism - Homo sapiens (human)	cytochrome	cytochrome P450 family 2 subfamily C member 9
CYP2E1	hsa00140 / hsa00590 / hsa00591	Lipid metabolism	Steroid hormone biosynthesis - Homo sapiens (human) / Arachidonic acid metabolism - Homo sapiens (human) / Linoleic acid metabolism - Homo sapiens (human)	cytochrome	cytochrome P450 family 2 subfamily E member 1
CYP2J2	hsa00590 / hsa00591	Lipid metabolism	Arachidonic acid metabolism - Homo sapiens (human) / Linoleic acid metabolism - Homo sapiens (human)	cytochrome	cytochrome P450 family 2 subfamily J member 2
CYP2R1	hsa00100	Lipid metabolism	Steroid biosynthesis - Homo sapiens (human)	cytochrome	cytochrome P450 family 2 subfamily R member 1
CYP2S1	hsa00830	Metabolism of cofactors and vitamins	Retinol metabolism - Homo sapiens (human)	cytochrome	cytochrome P450 family 2 subfamily S member 1
CYP2U1	hsa00071 / hsa00590	Lipid metabolism	Fatty acid degradation - Homo sapiens (human) / Arachidonic acid metabolism - Homo sapiens (human)	cytochrome	cytochrome P450 family 2 subfamily U member 1
CYP2W1	hsa00830	Metabolism of cofactors and vitamins	Retinol metabolism - Homo sapiens (human)	cytochrome	cytochrome P450 family 2 subfamily W member 1
CYP39A1	hsa00120	Lipid metabolism	Primary bile acid biosynthesis - Homo sapiens (human)	cytochrome	cytochrome P450 family 39 subfamily A member 1
CYP3A4	hsa00140 / hsa00591 / hsa00830	Lipid metabolism / Metabolism of cofactors and vitamins	Steroid hormone biosynthesis - Homo sapiens (human) / Linoleic acid metabolism - Homo sapiens (human) / Retinol metabolism - Homo sapiens (human)	cytochrome	cytochrome P450 family 3 subfamily A member 4
CYP3A5	hsa00140 / hsa00830	Lipid metabolism / Metabolism of cofactors and vitamins	Steroid hormone biosynthesis - Homo sapiens (human) / Retinol metabolism - Homo sapiens (human)	cytochrome	cytochrome P450 family 3 subfamily A member 5
CYP3A7	hsa00140 / hsa00830	Lipid metabolism / Metabolism of cofactors and vitamins	Steroid hormone biosynthesis - Homo sapiens (human) / Retinol metabolism - Homo sapiens (human)	cytochrome	cytochrome P450 family 3 subfamily A member 7
CYP3A7-CYP3A51P	hsa00140 / hsa00830	Lipid metabolism / Metabolism of cofactors and vitamins	Steroid hormone biosynthesis - Homo sapiens (human) / Retinol metabolism - Homo sapiens (human)	CYP3A7-CYP3A51P	CYP3A7-CYP3A51P readthrough
CYP46A1	hsa00120	Lipid metabolism	Primary bile acid biosynthesis - Homo sapiens (human)	cytochrome	cytochrome P450 family 46 subfamily A member 1
CYP4F2	hsa00590	Lipid metabolism	Arachidonic acid metabolism - Homo sapiens (human)	cytochrome	cytochrome P450 family 4 subfamily F member 2
CYP4F3	hsa00590	Lipid metabolism	Arachidonic acid metabolism - Homo sapiens (human)	cytochrome	cytochrome P450 family 4 subfamily F member 3
CYP4F8	hsa00590	Lipid metabolism	Arachidonic acid metabolism - Homo sapiens (human)	cytochrome	cytochrome P450 family 4 subfamily F member 8
CYP51A1	hsa00100	Lipid metabolism	Steroid biosynthesis - Homo sapiens (human)	cytochrome	cytochrome P450 family 51 subfamily A member 1
CYP7A1	hsa00120 / hsa00140	Lipid metabolism	Primary bile acid biosynthesis - Homo sapiens (human) / Steroid hormone biosynthesis - Homo sapiens (human)	cytochrome	cytochrome P450 family 7 subfamily A member 1
CYP7B1	hsa00120 / hsa00140	Lipid metabolism	Primary bile acid biosynthesis - Homo sapiens (human) / Steroid hormone biosynthesis - Homo sapiens (human)	cytochrome	cytochrome P450 family 7 subfamily B member 1
CYP8B1	hsa00120	Lipid metabolism	Primary bile acid biosynthesis - Homo sapiens (human)	cytochrome	cytochrome P450 family 8 subfamily B member 1
CYB561D2	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	cytochrome	cytochrome b
DAO	hsa00260 / hsa00330 / hsa00470	Amino acid metabolism / Metabolism of other amino acids	Glycine, serine and threonine metabolism - Homo sapiens (human) / Arginine and proline metabolism - Homo sapiens (human) / D-Amino acid metabolism - Homo sapiens (human)	D-amino	D-amino acid oxidase
DBH	hsa00350	Amino acid metabolism	Tyrosine metabolism - Homo sapiens (human)	dopamine	dopamine beta-hydroxylase
DBT	hsa00640 / hsa00280 / hsa00785	Carbohydrate metabolism / Amino acid metabolism / Metabolism of cofactors and vitamins	Propanoate metabolism - Homo sapiens (human) / Valine, leucine and isoleucine degradation - Homo sapiens (human) / Lipoic acid metabolism - Homo sapiens (human)	dihydrolipoamide	dihydrolipoamide branched chain transacylase E2
DCK	hsa00230 / hsa00240	Nucleotide metabolism	Purine metabolism - Homo sapiens (human) / Pyrimidine metabolism - Homo sapiens (human)	deoxycytidine	deoxycytidine kinase
DCT	hsa00350	Amino acid metabolism	Tyrosine metabolism - Homo sapiens (human)	dopachrome	dopachrome tautomerase
DCTD	hsa00240	Nucleotide metabolism	Pyrimidine metabolism - Homo sapiens (human)	dCMP	dCMP deaminase
DCTPP1	hsa00240	Nucleotide metabolism	Pyrimidine metabolism - Homo sapiens (human)	dCTP	dCTP pyrophosphatase 1
DCXR	hsa00040	Carbohydrate metabolism	Pentose and glucuronate interconversions - Homo sapiens (human)	dicarbonyl	dicarbonyl and L-xylulose reductase
DDC	hsa00350 / hsa00360 / hsa00380	Amino acid metabolism	Tyrosine metabolism - Homo sapiens (human) / Phenylalanine metabolism - Homo sapiens (human) / Tryptophan metabolism - Homo sapiens (human)	dopa	dopa decarboxylase
DDO	hsa00250 / hsa00470	Amino acid metabolism / Metabolism of other amino acids	Alanine, aspartate and glutamate metabolism - Homo sapiens (human) / D-Amino acid metabolism - Homo sapiens (human)	D-aspartate	D-aspartate oxidase
DEGS1	hsa00600	Lipid metabolism	Sphingolipid metabolism - Homo sapiens (human)	delta	delta 4-desaturase, sphingolipid 1
DEGS2	hsa00600	Lipid metabolism	Sphingolipid metabolism - Homo sapiens (human)	delta	delta 4-desaturase, sphingolipid 2
DERA	hsa00030	Carbohydrate metabolism	Pentose phosphate pathway - Homo sapiens (human)	deoxyribose-phosphate	deoxyribose-phosphate aldolase
DGAT1	hsa00561 / hsa00830	Lipid metabolism / Metabolism of cofactors and vitamins	Glycerolipid metabolism - Homo sapiens (human) / Retinol metabolism - Homo sapiens (human)	diacylglycerol	diacylglycerol O-acyltransferase 1
DGAT2	hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	diacylglycerol	diacylglycerol O-acyltransferase 2
DGKA	hsa00561 / hsa00564	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human) / Glycerophospholipid metabolism - Homo sapiens (human)	diacylglycerol	diacylglycerol kinase alpha
DGKB	hsa00561 / hsa00564	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human) / Glycerophospholipid metabolism - Homo sapiens (human)	diacylglycerol	diacylglycerol kinase beta
DGKD	hsa00561 / hsa00564	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human) / Glycerophospholipid metabolism - Homo sapiens (human)	diacylglycerol	diacylglycerol kinase delta
DGKE	hsa00561 / hsa00564	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human) / Glycerophospholipid metabolism - Homo sapiens (human)	diacylglycerol	diacylglycerol kinase epsilon
DGKG	hsa00561 / hsa00564	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human) / Glycerophospholipid metabolism - Homo sapiens (human)	diacylglycerol	diacylglycerol kinase gamma
DGKH	hsa00561 / hsa00564	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human) / Glycerophospholipid metabolism - Homo sapiens (human)	diacylglycerol	diacylglycerol kinase eta
DGKI	hsa00561 / hsa00564	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human) / Glycerophospholipid metabolism - Homo sapiens (human)	diacylglycerol	diacylglycerol kinase iota
DGKK	hsa00561 / hsa00564	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human) / Glycerophospholipid metabolism - Homo sapiens (human)	diacylglycerol	diacylglycerol kinase kappa
DGKQ	hsa00561 / hsa00564	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human) / Glycerophospholipid metabolism - Homo sapiens (human)	diacylglycerol	diacylglycerol kinase theta
DGKZ	hsa00561 / hsa00564	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human) / Glycerophospholipid metabolism - Homo sapiens (human)	diacylglycerol	diacylglycerol kinase zeta
C14orf159	hsa00470	Metabolism of other amino acids	D-Amino acid metabolism - Homo sapiens (human)	D-glutamate	D-glutamate cyclase
DGUOK	hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	deoxyguanosine	deoxyguanosine kinase
DHCR24	hsa00100	Lipid metabolism	Steroid biosynthesis - Homo sapiens (human)	24-dehydrocholesterol	24-dehydrocholesterol reductase
DHCR7	hsa00100	Lipid metabolism	Steroid biosynthesis - Homo sapiens (human)	7-dehydrocholesterol	7-dehydrocholesterol reductase
DHDH	hsa00040	Carbohydrate metabolism	Pentose and glucuronate interconversions - Homo sapiens (human)	dihydrodiol	dihydrodiol dehydrogenase
DHFR	hsa00790 / hsa00670	Metabolism of cofactors and vitamins	Folate biosynthesis - Homo sapiens (human) / One carbon pool by folate - Homo sapiens (human)	dihydrofolate	dihydrofolate reductase
DHFRL1	hsa00790 / hsa00670	Metabolism of cofactors and vitamins	Folate biosynthesis - Homo sapiens (human) / One carbon pool by folate - Homo sapiens (human)	dihydrofolate	dihydrofolate reductase 2
