KEGG_ID	Metabolism	Pathways	Genes	Genes_name	Isoforms
hsa00860	Metabolism of cofactors and vitamins	Porphyrin metabolism - Homo sapiens (human)	CP	ceruloplasmin	ceruloplasmin
hsa00860	Metabolism of cofactors and vitamins	Porphyrin metabolism - Homo sapiens (human)	CPOX	coproporphyrinogen	coproporphyrinogen oxidase
hsa00910	Energy metabolism	Nitrogen metabolism - Homo sapiens (human)	CPS1	carbamoyl-phosphate	carbamoyl-phosphate synthase 1
hsa00071	Lipid metabolism	Fatty acid degradation - Homo sapiens (human)	CPT1A	carnitine	carnitine palmitoyltransferase 1A
hsa00071	Lipid metabolism	Fatty acid degradation - Homo sapiens (human)	CPT1B	carnitine	carnitine palmitoyltransferase 1B
hsa00071	Lipid metabolism	Fatty acid degradation - Homo sapiens (human)	CPT1C	carnitine	carnitine palmitoyltransferase 1C
hsa00071	Lipid metabolism	Fatty acid degradation - Homo sapiens (human)	CPT2	carnitine	carnitine palmitoyltransferase 2
hsa00564	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human)	CRLS1	cardiolipin	cardiolipin synthase 1
hsa00040	Carbohydrate metabolism	Pentose and glucuronate interconversions - Homo sapiens (human)	CRYL1	crystallin	crystallin lambda 1
hsa00020	Carbohydrate metabolism	Citrate cycle (TCA cycle) - Homo sapiens (human)	CS	citrate	citrate synthase
hsa00410	Metabolism of other amino acids	beta-Alanine metabolism - Homo sapiens (human)	CSAD	cysteine	cysteine sulfinic acid decarboxylase
hsa00260	Amino acid metabolism	Glycine, serine and threonine metabolism - Homo sapiens (human)	CTH	cystathionine	cystathionine gamma-lyase
hsa00240	Nucleotide metabolism	Pyrimidine metabolism - Homo sapiens (human)	CTPS1	CTP	CTP synthase 1
hsa00240	Nucleotide metabolism	Pyrimidine metabolism - Homo sapiens (human)	CTPS2	CTP	CTP synthase 2
hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	CYB561D2	cytochrome	cytochrome b
hsa00520	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)	CYB5R1	cytochrome	cytochrome b5 reductase 1
hsa00520	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)	CYB5R2	cytochrome	cytochrome b5 reductase 2
hsa00520	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)	CYB5R3	cytochrome	cytochrome b5 reductase 3
hsa00520	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)	CYB5R4	cytochrome	cytochrome b5 reductase 4
hsa00520	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)	CYB5RL	cytochrome	cytochrome b5 reductase like
hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	CYC1	cytochrome	cytochrome c1
hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	CYCS	cytochrome	cytochrome c, somatic
hsa00140	Lipid metabolism	Steroid hormone biosynthesis - Homo sapiens (human)	CYP11A1	cytochrome	cytochrome P450 family 11 subfamily A member 1
hsa00140	Lipid metabolism	Steroid hormone biosynthesis - Homo sapiens (human)	CYP11B1	cytochrome	cytochrome P450 family 11 subfamily B member 1
hsa00140	Lipid metabolism	Steroid hormone biosynthesis - Homo sapiens (human)	CYP11B2	cytochrome	cytochrome P450 family 11 subfamily B member 2
hsa00140	Lipid metabolism	Steroid hormone biosynthesis - Homo sapiens (human)	CYP17A1	cytochrome	cytochrome P450 family 17 subfamily A member 1
hsa00140	Lipid metabolism	Steroid hormone biosynthesis - Homo sapiens (human)	CYP19A1	cytochrome	cytochrome P450 family 19 subfamily A member 1
hsa00140	Lipid metabolism	Steroid hormone biosynthesis - Homo sapiens (human)	CYP1A1	cytochrome	cytochrome P450 family 1 subfamily A member 1
hsa00140	Lipid metabolism	Steroid hormone biosynthesis - Homo sapiens (human)	CYP1A2	cytochrome	cytochrome P450 family 1 subfamily A member 2
hsa00140	Lipid metabolism	Steroid hormone biosynthesis - Homo sapiens (human)	CYP1B1	cytochrome	cytochrome P450 family 1 subfamily B member 1
hsa00140	Lipid metabolism	Steroid hormone biosynthesis - Homo sapiens (human)	CYP21A2	cytochrome	cytochrome P450 family 21 subfamily A member 2
hsa00100	Lipid metabolism	Steroid biosynthesis - Homo sapiens (human)	CYP24A1	cytochrome	cytochrome P450 family 24 subfamily A member 1
hsa00830	Metabolism of cofactors and vitamins	Retinol metabolism - Homo sapiens (human)	CYP26A1	cytochrome	cytochrome P450 family 26 subfamily A member 1
hsa00830	Metabolism of cofactors and vitamins	Retinol metabolism - Homo sapiens (human)	CYP26B1	cytochrome	cytochrome P450 family 26 subfamily B member 1
hsa00830	Metabolism of cofactors and vitamins	Retinol metabolism - Homo sapiens (human)	CYP26C1	cytochrome	cytochrome P450 family 26 subfamily C member 1
hsa00120	Lipid metabolism	Primary bile acid biosynthesis - Homo sapiens (human)	CYP27A1	cytochrome	cytochrome P450 family 27 subfamily A member 1
hsa00100	Lipid metabolism	Steroid biosynthesis - Homo sapiens (human)	CYP27B1	cytochrome	cytochrome P450 family 27 subfamily B member 1
hsa00830	Metabolism of cofactors and vitamins	Retinol metabolism - Homo sapiens (human)	CYP27C1	cytochrome	cytochrome P450 family 27 subfamily C member 1
hsa00830	Metabolism of cofactors and vitamins	Retinol metabolism - Homo sapiens (human)	CYP2A6	cytochrome	cytochrome P450 family 2 subfamily A member 6
hsa00830	Metabolism of cofactors and vitamins	Retinol metabolism - Homo sapiens (human)	CYP2A7	cytochrome	cytochrome P450 family 2 subfamily A member 7
hsa00590	Lipid metabolism	Arachidonic acid metabolism - Homo sapiens (human)	CYP2B6	cytochrome	cytochrome P450 family 2 subfamily B member 6
hsa00830	Metabolism of cofactors and vitamins	Retinol metabolism - Homo sapiens (human)	CYP2C18	cytochrome	cytochrome P450 family 2 subfamily C member 18
hsa00590	Lipid metabolism	Arachidonic acid metabolism - Homo sapiens (human)	CYP2C19	cytochrome	cytochrome P450 family 2 subfamily C member 19
hsa00590	Lipid metabolism	Arachidonic acid metabolism - Homo sapiens (human)	CYP2C8	cytochrome	cytochrome P450 family 2 subfamily C member 8
hsa00590	Lipid metabolism	Arachidonic acid metabolism - Homo sapiens (human)	CYP2C9	cytochrome	cytochrome P450 family 2 subfamily C member 9
hsa00140	Lipid metabolism	Steroid hormone biosynthesis - Homo sapiens (human)	CYP2E1	cytochrome	cytochrome P450 family 2 subfamily E member 1
hsa00590	Lipid metabolism	Arachidonic acid metabolism - Homo sapiens (human)	CYP2J2	cytochrome	cytochrome P450 family 2 subfamily J member 2
hsa00100	Lipid metabolism	Steroid biosynthesis - Homo sapiens (human)	CYP2R1	cytochrome	cytochrome P450 family 2 subfamily R member 1
hsa00830	Metabolism of cofactors and vitamins	Retinol metabolism - Homo sapiens (human)	CYP2S1	cytochrome	cytochrome P450 family 2 subfamily S member 1
hsa00071	Lipid metabolism	Fatty acid degradation - Homo sapiens (human)	CYP2U1	cytochrome	cytochrome P450 family 2 subfamily U member 1
hsa00830	Metabolism of cofactors and vitamins	Retinol metabolism - Homo sapiens (human)	CYP2W1	cytochrome	cytochrome P450 family 2 subfamily W member 1
hsa00120	Lipid metabolism	Primary bile acid biosynthesis - Homo sapiens (human)	CYP39A1	cytochrome	cytochrome P450 family 39 subfamily A member 1
hsa00140	Lipid metabolism	Steroid hormone biosynthesis - Homo sapiens (human)	CYP3A4	cytochrome	cytochrome P450 family 3 subfamily A member 4
hsa00140	Lipid metabolism	Steroid hormone biosynthesis - Homo sapiens (human)	CYP3A5	cytochrome	cytochrome P450 family 3 subfamily A member 5
hsa00140	Lipid metabolism	Steroid hormone biosynthesis - Homo sapiens (human)	CYP3A7	cytochrome	cytochrome P450 family 3 subfamily A member 7
hsa00140	Lipid metabolism	Steroid hormone biosynthesis - Homo sapiens (human)	CYP3A7-CYP3A51P	CYP3A7-CYP3A51P	CYP3A7-CYP3A51P readthrough
hsa00120	Lipid metabolism	Primary bile acid biosynthesis - Homo sapiens (human)	CYP46A1	cytochrome	cytochrome P450 family 46 subfamily A member 1
hsa00590	Lipid metabolism	Arachidonic acid metabolism - Homo sapiens (human)	CYP4F2	cytochrome	cytochrome P450 family 4 subfamily F member 2
hsa00590	Lipid metabolism	Arachidonic acid metabolism - Homo sapiens (human)	CYP4F3	cytochrome	cytochrome P450 family 4 subfamily F member 3
hsa00590	Lipid metabolism	Arachidonic acid metabolism - Homo sapiens (human)	CYP4F8	cytochrome	cytochrome P450 family 4 subfamily F member 8
hsa00100	Lipid metabolism	Steroid biosynthesis - Homo sapiens (human)	CYP51A1	cytochrome	cytochrome P450 family 51 subfamily A member 1
hsa00120	Lipid metabolism	Primary bile acid biosynthesis - Homo sapiens (human)	CYP7A1	cytochrome	cytochrome P450 family 7 subfamily A member 1
hsa00120	Lipid metabolism	Primary bile acid biosynthesis - Homo sapiens (human)	CYP7B1	cytochrome	cytochrome P450 family 7 subfamily B member 1
hsa00120	Lipid metabolism	Primary bile acid biosynthesis - Homo sapiens (human)	CYP8B1	cytochrome	cytochrome P450 family 8 subfamily B member 1
hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	DAND5, SP1	NADH	NADH dehydrogenase subunit 5
hsa00260	Amino acid metabolism	Glycine, serine and threonine metabolism - Homo sapiens (human)	DAO	D-amino	D-amino acid oxidase
hsa00350	Amino acid metabolism	Tyrosine metabolism - Homo sapiens (human)	DBH	dopamine	dopamine beta-hydroxylase
hsa00640	Carbohydrate metabolism	Propanoate metabolism - Homo sapiens (human)	DBT	dihydrolipoamide	dihydrolipoamide branched chain transacylase E2
hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	DCK	deoxycytidine	deoxycytidine kinase
hsa00350	Amino acid metabolism	Tyrosine metabolism - Homo sapiens (human)	DCT	dopachrome	dopachrome tautomerase
hsa00240	Nucleotide metabolism	Pyrimidine metabolism - Homo sapiens (human)	DCTD	dCMP	dCMP deaminase
hsa00240	Nucleotide metabolism	Pyrimidine metabolism - Homo sapiens (human)	DCTPP1	dCTP	dCTP pyrophosphatase 1
hsa00040	Carbohydrate metabolism	Pentose and glucuronate interconversions - Homo sapiens (human)	DCXR	dicarbonyl	dicarbonyl and L-xylulose reductase
hsa00350	Amino acid metabolism	Tyrosine metabolism - Homo sapiens (human)	DDC	dopa	dopa decarboxylase
hsa00250	Amino acid metabolism	Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	DDO	D-aspartate	D-aspartate oxidase
hsa00600	Lipid metabolism	Sphingolipid metabolism - Homo sapiens (human)	DEGS1	delta	delta 4-desaturase, sphingolipid 1
hsa00600	Lipid metabolism	Sphingolipid metabolism - Homo sapiens (human)	DEGS2	delta	delta 4-desaturase, sphingolipid 2
hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	DENND4A	NADH	NADH dehydrogenase subunit 4
hsa00030	Carbohydrate metabolism	Pentose phosphate pathway - Homo sapiens (human)	DERA	deoxyribose-phosphate	deoxyribose-phosphate aldolase
hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	DGAT1	diacylglycerol	diacylglycerol O-acyltransferase 1
hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	DGAT2	diacylglycerol	diacylglycerol O-acyltransferase 2
hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	DGKA	diacylglycerol	diacylglycerol kinase alpha
hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	DGKB	diacylglycerol	diacylglycerol kinase beta
hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	DGKD	diacylglycerol	diacylglycerol kinase delta
hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	DGKE	diacylglycerol	diacylglycerol kinase epsilon
hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	DGKG	diacylglycerol	diacylglycerol kinase gamma
hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	DGKH	diacylglycerol	diacylglycerol kinase eta
hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	DGKI	diacylglycerol	diacylglycerol kinase iota
hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	DGKK	diacylglycerol	diacylglycerol kinase kappa
hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	DGKQ	diacylglycerol	diacylglycerol kinase theta
hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	DGKZ	diacylglycerol	diacylglycerol kinase zeta
hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	DGUOK	deoxyguanosine	deoxyguanosine kinase
hsa00100	Lipid metabolism	Steroid biosynthesis - Homo sapiens (human)	DHCR24	24-dehydrocholesterol	24-dehydrocholesterol reductase
hsa00100	Lipid metabolism	Steroid biosynthesis - Homo sapiens (human)	DHCR7	7-dehydrocholesterol	7-dehydrocholesterol reductase
hsa00040	Carbohydrate metabolism	Pentose and glucuronate interconversions - Homo sapiens (human)	DHDH	dihydrodiol	dihydrodiol dehydrogenase
hsa00790	Metabolism of cofactors and vitamins	Folate biosynthesis - Homo sapiens (human)	DHFR	dihydrofolate	dihydrofolate reductase
hsa00790	Metabolism of cofactors and vitamins	Folate biosynthesis - Homo sapiens (human)	DHFRL1	dihydrofolate	dihydrofolate reductase 2
hsa00240	Nucleotide metabolism	Pyrimidine metabolism - Homo sapiens (human)	DHODH	dihydroorotate	dihydroorotate dehydrogenase (quinone)
hsa00140	Lipid metabolism	Steroid hormone biosynthesis - Homo sapiens (human)	DHRS11	dehydrogenase/reductase	dehydrogenase/reductase 11
hsa00830	Metabolism of cofactors and vitamins	Retinol metabolism - Homo sapiens (human)	DHRS3	dehydrogenase/reductase	dehydrogenase/reductase 3
hsa00830	Metabolism of cofactors and vitamins	Retinol metabolism - Homo sapiens (human)	DHRS4	dehydrogenase/reductase	dehydrogenase/reductase 4
hsa00830	Metabolism of cofactors and vitamins	Retinol metabolism - Homo sapiens (human)	DHRS4L2	dehydrogenase/reductase	dehydrogenase/reductase 4 like 2
hsa00830	Metabolism of cofactors and vitamins	Retinol metabolism - Homo sapiens (human)	DHRS9	dehydrogenase/reductase	dehydrogenase/reductase 9
hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	DHTKD1	dehydrogenase	dehydrogenase E1 and transketolase domain containing 1
hsa00010	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human)	DLAT	dihydrolipoamide	dihydrolipoamide S-acetyltransferase
hsa00010	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human)	DLD	dihydrolipoamide	dihydrolipoamide dehydrogenase
hsa00020	Carbohydrate metabolism	Citrate cycle (TCA cycle) - Homo sapiens (human)	DLST	dihydrolipoamide	dihydrolipoamide S-succinyltransferase
hsa00260	Amino acid metabolism	Glycine, serine and threonine metabolism - Homo sapiens (human)	DMGDH	dimethylglycine	dimethylglycine dehydrogenase
hsa00270	Amino acid metabolism	Cysteine and methionine metabolism - Homo sapiens (human)	DNMT1	DNA	DNA methyltransferase 1
hsa00270	Amino acid metabolism	Cysteine and methionine metabolism - Homo sapiens (human)	DNMT3A	DNA	DNA methyltransferase 3 alpha
hsa00270	Amino acid metabolism	Cysteine and methionine metabolism - Homo sapiens (human)	DNMT3B	DNA	DNA methyltransferase 3 beta
hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	DOT1L	DOT1	DOT1 like histone lysine methyltransferase
hsa00240	Nucleotide metabolism	Pyrimidine metabolism - Homo sapiens (human)	DPYD	dihydropyrimidine	dihydropyrimidine dehydrogenase
hsa00240	Nucleotide metabolism	Pyrimidine metabolism - Homo sapiens (human)	DPYS	dihydropyrimidinase	dihydropyrimidinase
hsa00240	Nucleotide metabolism	Pyrimidine metabolism - Homo sapiens (human)	DTYMK	deoxythymidylate	deoxythymidylate kinase
hsa00240	Nucleotide metabolism	Pyrimidine metabolism - Homo sapiens (human)	DUT	deoxyuridine	deoxyuridine triphosphatase
hsa00860	Metabolism of cofactors and vitamins	Porphyrin metabolism - Homo sapiens (human)	EARS2	glutamyl-tRNA	glutamyl-tRNA synthetase 2, mitochondrial
hsa00100	Lipid metabolism	Steroid biosynthesis - Homo sapiens (human)	EBP	EBP	EBP cholestenol delta-isomerase
hsa00640	Carbohydrate metabolism	Propanoate metabolism - Homo sapiens (human)	ECHDC1	ethylmalonyl-CoA	ethylmalonyl-CoA decarboxylase 1
hsa00640	Carbohydrate metabolism	Propanoate metabolism - Homo sapiens (human)	ECHS1	enoyl-CoA	enoyl-CoA hydratase, short chain 1
hsa00071	Lipid metabolism	Fatty acid degradation - Homo sapiens (human)	ECI1	enoyl-CoA	enoyl-CoA delta isomerase 1
hsa00071	Lipid metabolism	Fatty acid degradation - Homo sapiens (human)	ECI2	enoyl-CoA	enoyl-CoA delta isomerase 2
hsa00640	Carbohydrate metabolism	Propanoate metabolism - Homo sapiens (human)	EHHADH	enoyl-CoA	enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase
hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	EHMT1	euchromatic	euchromatic histone lysine methyltransferase 1
hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	EHMT2	euchromatic	euchromatic histone lysine methyltransferase 2
hsa00062	Lipid metabolism	Fatty acid elongation - Homo sapiens (human)	ELOVL1	ELOVL	ELOVL fatty acid elongase 1
hsa00062	Lipid metabolism	Fatty acid elongation - Homo sapiens (human)	ELOVL2	ELOVL	ELOVL fatty acid elongase 2
hsa00062	Lipid metabolism	Fatty acid elongation - Homo sapiens (human)	ELOVL3	ELOVL	ELOVL fatty acid elongase 3
hsa00062	Lipid metabolism	Fatty acid elongation - Homo sapiens (human)	ELOVL4	ELOVL	ELOVL fatty acid elongase 4
hsa00062	Lipid metabolism	Fatty acid elongation - Homo sapiens (human)	ELOVL5	ELOVL	ELOVL fatty acid elongase 5
hsa00062	Lipid metabolism	Fatty acid elongation - Homo sapiens (human)	ELOVL6	ELOVL	ELOVL fatty acid elongase 6
hsa00062	Lipid metabolism	Fatty acid elongation - Homo sapiens (human)	ELOVL7	ELOVL	ELOVL fatty acid elongase 7
hsa00010	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human)	ENO1	enolase	enolase 1
hsa00010	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human)	ENO2	enolase	enolase 2
hsa00010	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human)	ENO3	enolase	enolase 3
hsa00010	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human)	ENO4	enolase	enolase 4
hsa00270	Amino acid metabolism	Cysteine and methionine metabolism - Homo sapiens (human)	ENOPH1	enolase-phosphatase	enolase-phosphatase 1
hsa00051	Carbohydrate metabolism	Fructose and mannose metabolism - Homo sapiens (human)	ENOSF1	enolase	enolase superfamily member 1
hsa00500	Carbohydrate metabolism	Starch and sucrose metabolism - Homo sapiens (human)	ENPP1	ectonucleotide	ectonucleotide pyrophosphatase/phosphodiesterase 1
hsa00565	Lipid metabolism	Ether lipid metabolism - Homo sapiens (human)	ENPP2	ectonucleotide	ectonucleotide pyrophosphatase/phosphodiesterase 2
hsa00500	Carbohydrate metabolism	Starch and sucrose metabolism - Homo sapiens (human)	ENPP3	ectonucleotide	ectonucleotide pyrophosphatase/phosphodiesterase 3
hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	ENPP4	ectonucleotide	ectonucleotide pyrophosphatase/phosphodiesterase 4
hsa00565	Lipid metabolism	Ether lipid metabolism - Homo sapiens (human)	ENPP6	ectonucleotide	ectonucleotide pyrophosphatase/phosphodiesterase 6
hsa00600	Lipid metabolism	Sphingolipid metabolism - Homo sapiens (human)	ENPP7	ectonucleotide	ectonucleotide pyrophosphatase/phosphodiesterase 7
hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	ENTPD1	ectonucleoside	ectonucleoside triphosphate diphosphohydrolase 1
hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	ENTPD2	ectonucleoside	ectonucleoside triphosphate diphosphohydrolase 2
hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	ENTPD3	ectonucleoside	ectonucleoside triphosphate diphosphohydrolase 3
hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	ENTPD4	ectonucleoside	ectonucleoside triphosphate diphosphohydrolase 4
hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	ENTPD5	ectonucleoside	ectonucleoside triphosphate diphosphohydrolase 5 (inactive)
hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	ENTPD6	ectonucleoside	ectonucleoside triphosphate diphosphohydrolase 6
hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	ENTPD8	ectonucleoside	ectonucleoside triphosphate diphosphohydrolase 8
hsa00590	Lipid metabolism	Arachidonic acid metabolism - Homo sapiens (human)	EPHX2	epoxide	epoxide hydrolase 2
hsa00860	Metabolism of cofactors and vitamins	Porphyrin metabolism - Homo sapiens (human)	EPRS	glutamyl-prolyl-tRNA	glutamyl-prolyl-tRNA synthetase 1
hsa00564	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human)	EPT1	selenoprotein	selenoprotein I
hsa00920	Energy metabolism	Sulfur metabolism - Homo sapiens (human)	ETHE1	ETHE1	ETHE1 persulfide dioxygenase
hsa00564	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human)	ETNK1	ethanolamine	ethanolamine kinase 1
hsa00564	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human)	ETNK2	ethanolamine	ethanolamine kinase 2
hsa00564	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human)	ETNPPL	ethanolamine-phosphate	ethanolamine-phosphate phospho-lyase
hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	EZH1	enhancer	enhancer of zeste 1 polycomb repressive complex 2 subunit
hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	EZH2	enhancer	enhancer of zeste 2 polycomb repressive complex 2 subunit
hsa01040	Lipid metabolism	Biosynthesis of unsaturated fatty acids - Homo sapiens (human)	FADS1	fatty	fatty acid desaturase 1
hsa00592	Lipid metabolism	alpha-Linolenic acid metabolism - Homo sapiens (human)	FADS2	fatty	fatty acid desaturase 2
hsa00350	Amino acid metabolism	Tyrosine metabolism - Homo sapiens (human)	FAH	fumarylacetoacetate	fumarylacetoacetate hydrolase
hsa00350	Amino acid metabolism	Tyrosine metabolism - Homo sapiens (human)	FAHD1	fumarylacetoacetate	fumarylacetoacetate hydrolase domain containing 1
hsa00590	Lipid metabolism	Arachidonic acid metabolism - Homo sapiens (human)	FAM213B	peroxiredoxin	peroxiredoxin like 2B
hsa00061	Lipid metabolism	Fatty acid biosynthesis - Homo sapiens (human)	FASN	fatty	fatty acid synthase
hsa00010	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human)	FBP1	fructose-bisphosphatase	fructose-bisphosphatase 1
hsa00010	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human)	FBP2	fructose-bisphosphatase	fructose-bisphosphatase 2
hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	FBXO38	NADH	NADH dehydrogenase subunit 6
hsa00100	Lipid metabolism	Steroid biosynthesis - Homo sapiens (human)	FDFT1	farnesyl-diphosphate	farnesyl-diphosphate farnesyltransferase 1
hsa00860	Metabolism of cofactors and vitamins	Porphyrin metabolism - Homo sapiens (human)	FECH	ferrochelatase	ferrochelatase
hsa00040	Carbohydrate metabolism	Pentose and glucuronate interconversions - Homo sapiens (human)	FGGY	FGGY	FGGY carbohydrate kinase domain containing
hsa00020	Carbohydrate metabolism	Citrate cycle (TCA cycle) - Homo sapiens (human)	FH	fumarate	fumarate hydratase
hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	FHIT	fragile	fragile histidine triad diadenosine triphosphatase
hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	FIG4	FIG4	FIG4 phosphoinositide 5-phosphatase
hsa00740	Metabolism of cofactors and vitamins	Riboflavin metabolism - Homo sapiens (human)	FLAD1	flavin	flavin adenine dinucleotide synthetase 1
hsa00430	Metabolism of other amino acids	Taurine and hypotaurine metabolism - Homo sapiens (human)	FMO1	flavin	flavin containing dimethylaniline monoxygenase 1
hsa00430	Metabolism of other amino acids	Taurine and hypotaurine metabolism - Homo sapiens (human)	FMO2	flavin	flavin containing dimethylaniline monoxygenase 2
hsa00430	Metabolism of other amino acids	Taurine and hypotaurine metabolism - Homo sapiens (human)	FMO3	flavin	flavin containing dimethylaniline monoxygenase 3
hsa00430	Metabolism of other amino acids	Taurine and hypotaurine metabolism - Homo sapiens (human)	FMO4	flavin	flavin containing dimethylaniline monoxygenase 4
hsa00430	Metabolism of other amino acids	Taurine and hypotaurine metabolism - Homo sapiens (human)	FMO5	flavin	flavin containing dimethylaniline monoxygenase 5
hsa00250	Amino acid metabolism	Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	FOLH1	folate	folate hydrolase 1
hsa00790	Metabolism of cofactors and vitamins	Folate biosynthesis - Homo sapiens (human)	FPGS	folylpolyglutamate	folylpolyglutamate synthase
hsa00051	Carbohydrate metabolism	Fructose and mannose metabolism - Homo sapiens (human)	FPGT	fucose-1-phosphate	fucose-1-phosphate guanylyltransferase
hsa00340	Amino acid metabolism	Histidine metabolism - Homo sapiens (human)	FTCD	formimidoyltransferase	formimidoyltransferase cyclodeaminase
hsa00860	Metabolism of cofactors and vitamins	Porphyrin metabolism - Homo sapiens (human)	FTH1	ferritin	ferritin heavy chain 1
hsa00860	Metabolism of cofactors and vitamins	Porphyrin metabolism - Homo sapiens (human)	FTL	ferritin	ferritin light chain
hsa00860	Metabolism of cofactors and vitamins	Porphyrin metabolism - Homo sapiens (human)	FTMT	ferritin	ferritin mitochondrial
hsa00051	Carbohydrate metabolism	Fructose and mannose metabolism - Homo sapiens (human)	FUK	fucose	fucose kinase
hsa00860	Metabolism of cofactors and vitamins	Porphyrin metabolism - Homo sapiens (human)	FXN	frataxin	frataxin
hsa00010	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human)	G6PC	glucose-6-phosphatase	glucose-6-phosphatase catalytic subunit 1
hsa00010	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human)	G6PC2	glucose-6-phosphatase	glucose-6-phosphatase catalytic subunit 2
hsa00010	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human)	G6PC3	glucose-6-phosphatase	glucose-6-phosphatase catalytic subunit 3
hsa00030	Carbohydrate metabolism	Pentose phosphate pathway - Homo sapiens (human)	G6PD	glucose-6-phosphate	glucose-6-phosphate dehydrogenase
hsa00052	Carbohydrate metabolism	Galactose metabolism - Homo sapiens (human)	GAA	alpha	alpha glucosidase
hsa00650	Carbohydrate metabolism	Butanoate metabolism - Homo sapiens (human)	GAD1	glutamate	glutamate decarboxylase 1
hsa00650	Carbohydrate metabolism	Butanoate metabolism - Homo sapiens (human)	GAD2	glutamate	glutamate decarboxylase 2
hsa00410	Metabolism of other amino acids	beta-Alanine metabolism - Homo sapiens (human)	GADL1	glutamate	glutamate decarboxylase like 1
hsa00565	Lipid metabolism	Ether lipid metabolism - Homo sapiens (human)	GAL3ST1	galactose-3-O-sulfotransferase	galactose-3-O-sulfotransferase 1
