deathtype	gene	description	gene_id	gene_biotype	pmid	comment
Autophagy_dependent_cell_death	MIR142	microRNA 142	ENSG00000284353	miRNA	24401604	MIR142 is a miRNA that can post-transcriptionally regulate the human autophagy gene ATG16L1. The regulatory mechanism decreases ATG16L1 mRNA and protein levels, thereby regulating autophagy by targeting ATG16L1 in human colonic epithelial cells. MIR142 inhibits starvation- and L18-MDP-induced autophagic activity, while a MIR142 inhibitor enhances starvation-induced autophagy in Jurkat T cells.
Autophagy_dependent_cell_death	MIR143	microRNA 143	ENSG00000284182.1	miRNA	27464000	MIR143 is related to autophagy in drug abuse-induced neurotoxicity. Experiments suggest that Methamphetamine regulates the expression of MIR143. MIR143 regulates the expression of BBC3 on paste cells, and regulates the balance of autophagy and apoptosis. MIR143 enhances autophagy by down-regulating BBC3.
Autophagy_dependent_cell_death	MIR144	microRNA 144	ENSG00000283819.1	miRNA	27764573	MIR144 suppresses autophagy by post-transcriptional regulation of the DRAM2 gene in human primary monocytes, which reduces the innate immune response to Mycobacterium tuberculosis infection.
Autophagy_dependent_cell_death	MIR149	microRNA 149	ENSG00000207611.1	miRNA	29488053	MIR149 is related to autophagy through the regulation of FUT1. MIR149 promotes the proliferation and autophagy of human primary chondrocytes by downregulating FUT1. In rapamycin-induced autophagic chondrocytes, transfection of MIR149 mimic can significantly increase LC3II, Atg5, and Beclin-1 protein levels, and MIR149 can regulate this process by targeting FUT1.
Autophagy_dependent_cell_death	MIR152	microRNA 152	ENSG00000207947.3	miRNA	25650716	MIR152 is a miRNA that regulates autophagy induced by cisplatin in ovarian cancer cells. Studies have shown that MIR152 reduces intracellular autophagic products by inhibiting the expression of ATG14, thereby affecting the sensitivity of cells to chemotherapy drugs. When MIR152 is expressed more, autophagy activity is lower, and the sensitivity to chemotherapy drugs such as cisplatin is higher. This suggests that downregulation of MIR152 can affect autophagy and increase the chemotherapy resistance of cells.
Autophagy_dependent_cell_death	MIR155	microRNA 155	ENSG00000283904.1	miRNA	31090940	Alcohol targets multiple steps in the autophagy pathway, including LAMP1 and LAMP2, to decrease autophagy flux, leading to impaired autophagy in ALD and alcoholic hepatitis (AH) mouse models, as well as in human livers with ALD. Alcohol-induced miR-155 was found to target different genes in the autophagy pathway and regulate exosome production.
Autophagy_dependent_cell_death	MIR17	microRNA 17	ENSG00000284536.1	miRNA	30281815	MIR17 is a factor that inhibits autophagy. The study shows that MIR17 suppresses autophagy by downregulating DDX5 and exacerbates the occurrence of hepatocellular carcinoma. MIR17 stimulates p62 expression and inhibits LC3B-II conversion, thereby inhibiting autophagy.
Autophagy_dependent_cell_death	MIR182	microRNA 182	ENSG00000207990.3	miRNA	34427642	It is found that MIR182 can promote the inflammatory response of Caco-2 cells by inhibiting autophagy. MIR182 can influence the autophagy pathway by interacting with circRNA HECTD1.
Autophagy_dependent_cell_death	MIR183	microRNA 183	ENSG00000207691.1	miRNA	30221685	Studies have shown that miR-183 regulates autophagy and apoptosis in gastric cancer cells by targeting the UVRAG gene's 3' untranslated region, affecting cell proliferation. UVRAG may interact with members of the Bcl-2 family during cell death and may mediate autophagy.
Autophagy_dependent_cell_death	MIR186	microRNA 186	ENSG00000207721.1	miRNA	31704614	MIR186 was found to be negatively associated with autophagy-related protein ATG14. It was found that MIR186 can directly bind to SNHG14 to inhibit its function, thereby promoting the expression of ATG14. ATG14 can directly act as a downstream effector of the SNHG14/MIR186 axis. In addition, it has been shown that ATG14 can promote cancer cell resistance to chemotherapy by regulating autophagy in cells.
Autophagy_dependent_cell_death	MIR188	microRNA 188	ENSG00000207768.3	miRNA	25858075	MIR188 regulates autophagy and cell death through targeting ATG7, a key autophagy promoting gene, in cardiomyocytes. MIR188 inhibits autophagy and cell death induced by anoxia/reoxygenation, which is related to myocardial infarction. Autophagy-promoting factor (APF), a long noncoding RNA, inhibits the activity of MIR188 by directly binding to it, leading to the regulation of ATG7 expression and the consequent cardiac autophagy through MIR188. APF modulates autophagic programme and autophagic cell death through targeting the MIR188/ATG7 pathway.
Autophagy_dependent_cell_death	MIR191	microRNA 191	ENSG00000207605.3	miRNA	25685068	The decreased expression level of MIR191 may contribute to the formation of radiation-resistant lung cancer cells through mediating cellular autophagy. Beclin-1, a protein in the Autophagy pathway, has a potential binding relationship with MIR191 in lung cancer cells. When the expression level of MIR191 increases, it negatively regulates Beclin-1, inhibits cellular autophagy, and suppresses the proliferation and growth of lung cancer cells.
Autophagy_dependent_cell_death	MIR192	microRNA 192	ENSG00000283926.1	miRNA	31918268	In asthmatic mice, overexpression of MIR192 attenuated autophagy by decreasing the expression of ATG7, LC3II/I, and beclin-1 and increasing the expression of p62. In addition, MIR192's target ATG7 promoted the proliferation of smooth muscle cells in asthma patients and alleviated the decrease in proliferation caused by MIR192.
Autophagy_dependent_cell_death	MIR195	microRNA 195	ENSG00000284112.1	miRNA	33029941	An increase in MIR195 levels can inhibit the selective autophagy of tight junction proteins in the blood-brain barrier, thus helping to maintain BBB integrity.
Autophagy_dependent_cell_death	MIR204	microRNA 204	ENSG00000207935.3	miRNA	25517751	MIR204 can regulate the starvation autophagy of cells by directly inhibiting TRPM3 and CAV1, as well as directly inhibiting the accumulation of LC3B. At the same time, the expression level of MIR204 is also regulated by VHL.
Autophagy_dependent_cell_death	MIR205	microRNA 205	ENSG00000284485.1	miRNA	34428336	The study found that MIR205 can regulate autophagy of AMs by controlling E2F1, thereby inhibiting pulmonary fibrosis, and the E2F1/SKP2/Beclin1 axis is the regulatory mechanism of MIR205 in this process.
Autophagy_dependent_cell_death	MIR21	microRNA 21	ENSG00000284190.1	miRNA	32319564	MIR21 can inhibit autophagy by regulating PTEN and increase the proliferation, migration, and invasion of bladder cancer T24 cells.
Autophagy_dependent_cell_death	MIR210	microRNA 210	ENSG00000199038.1	miRNA	32024814	MIR210 promotes the process of epithelial-mesenchymal transition and induces oncogenic autophagy in osteosarcoma. By downregulating the expression of PIK3R5 and regulating the AKT/mTOR signaling pathway, MIR210 promotes EMT and oncogenic autophagy in osteosarcoma.
Autophagy_dependent_cell_death	MIR212	microRNA 212	ENSG00000267195.1	miRNA	23011132	The MIR212 has an anti-autophagic function in cardiomyocytes in regulating FOXO3 expression, reducing autophagy levels in myocardial cells under starvation. Overexpression of miRNA-212/132 inhibits the autophagic response of cardiomyocytes, leading to cardiac hypertrophy and heart failure.
Autophagy_dependent_cell_death	MIR214	microRNA 214	ENSG00000283844.1	miRNA	33078654	MIR214 is a regulatory molecule that can directly bind to the 3' untranslated region of the ULK1 gene and suppress its expression. Increased expression of MIR214 leads to decreased expression of autophagy-related genes such as ULK1, ULK2, ATG7, and ATG16L1, causing a decrease in autophagic response. Inhibition of MIR214 can indirectly increase autophagic response by increasing the expression of ULK1 and HNF4A, thus alleviating hepatic steatosis and increasing autophagosome formation and MAP1LC3/LC3-II protein levels.
Autophagy_dependent_cell_death	MIR215	microRNA 215	ENSG00000207590.1	miRNA	30684759	MIR215 induces autophagy by targeting PI3K and activating ROS-MAPK pathways in cardiomyocytes. It can regulate the PI3K/AKT/TOR pathway by downregulating PI3K and activating autophagy related genes. In addition, MIR215 can induce the expression of autophagy related genes by increasing ROS accumulation and activating MAPK pathways.
Autophagy_dependent_cell_death	MIR22	microRNA 22	ENSG00000283824.1	miRNA	25449431	MIR22 may act as an important switch between autophagy and apoptosis to regulate 5-FU sensitivity.MIR22 inhibits autophagy and promotes apoptosis induced by 5-FU treatment, thus increasing the sensitivity of CRC cells to 5-FU. MIR22 can regulate the autophagy pathway by post-transcriptional silencing of BTG1, thereby affecting tumor survival and resistance.
Autophagy_dependent_cell_death	MIR221	microRNA 221	ENSG00000207870.1	miRNA	30765325	Upregulation of MIR221/222 can inhibit Dex-induced autophagy. MIR221/222 inhibits autophagy by directly targeting ATG12 and the p27kip-mTOR pathway. Dex leads to the downregulation of MIR221/222, which induces autophagy and cell death in MM cells.
Autophagy_dependent_cell_death	MIR224	microRNA 224	ENSG00000284363.1	miRNA	30646811	MIR224 is an oncogenic factor involved in hepatocellular carcinoma tumorigenesis, but Autophagy can suppress HCC by selectively degrading MIR224. Both MIR224 and CCND1 are regulated by Autophagy degradation machinery. MIR224 is preferentially adsorbed to autophagosomes by unknown factors, while CCND1 is selectively adsorbed to autophagosomes through the SQSTM1 pathway for subsequent degradation.
Autophagy_dependent_cell_death	MIR25	microRNA 25	ENSG00000207547.1	miRNA	33304476	Through in vitro and in vivo experiments, the researchers found that ADMSC-EVs promote post-stroke recovery and reduce autophagic response by regulating MIR25. Transfection of MIR25 mimics can inhibit autophagy regulation and increase cell survival, while transfection of MIR25 inhibitors can increase autophagy regulation and decrease cell survival.
Autophagy_dependent_cell_death	MIR31	microRNA 31	ENSG00000199177.1	miRNA	24343269	MIR31 is involved in Autophagy regulation by controlling PP2A activity. Studies have shown that Mir155 and Mir31 are regulated by MTOR to control PP2A levels, thereby affecting the activity of GSK3B and promoting the activation of the WNT-SHH signaling pathway, leading to the expression of ALOXs and ultimately inhibiting Autophagy.
Autophagy_dependent_cell_death	MIR32	microRNA 32	ENSG00000207698.1	miRNA	35794619	MIR32 inhibits autophagy in vascular smooth muscle cells by inhibiting MEF2D expression, thereby promoting cellular osteogenic differentiation and vascular calcification. MIR32 can be released from macrophages via EVs and is upregulated under high glucose conditions. After MIR32 mimics transfection, autophagy marker genes were significantly decreased while osteogenic marker genes were significantly increased.
Autophagy_dependent_cell_death	MTM1	myotubularin 1	ENSG00000171100.16	protein_coding	29358706	MTM1-UBQLN2 complex can recognize misfolded intermediate filaments proteins, such as desmin and vimentin, and promote their degradation independently of Autophagy. MTM1 interacts with Proteasome to facilitate the degradation of misfolded intermediate filament, instead of being related to Autophagy.
Autophagy_dependent_cell_death	MTMR4	myotubularin related protein 4	ENSG00000108389.10	protein_coding	29962048	MTMR4 is mainly distributed in late endosomes and autophagosomes, and regulates endocytic and autophagic pathways by down-regulating the level of phosphatidylinositol 3-phosphate (PI(3)P). Knockdown of MTMR4 impairs endosomal maturation, autophagy, and activates TFEB to regulate lysosomal protein gene expression. Detailed experiments are carried out on cell culture, transfection, immunostaining, quantitative real-time PCR, and microscopy. MTMR4 deficiency disrupts endosomal traffic and the autophagy process.
Autophagy_dependent_cell_death	MTMR8	myotubularin related protein 8	ENSG00000102043.16	protein_coding	22647598	The MTMR8/R9 complex regulates the levels of PtdIns(3)P in cells and therefore affects autophagy. Overexpression of MTMR8 plus R9 inhibits autophagy. In addition, knockdown of MTMR8 and MTMR9 significantly reduces the level of p62 in cells, which is a protein degraded in autophagosomes and is used to monitor autophagy.
Autophagy_dependent_cell_death	UFC1	ubiquitin-fold modifier conjugating enzyme 1	ENSG00000143222.12	protein_coding	33578803	UFC1 mediates the degradation of UFMylated substrate proteins and is involved in the process of ER-phagy. This means that the presence of UFC1 can promote the degradation and utilization of damaged proteins and organelles in cells through the autophagy mechanism.
Autophagy_dependent_cell_death	MIR330	microRNA 330	ENSG00000284544.1	miRNA	30269356	MiR-330-3p levels are significantly reduced during IRI, and it interacts with phosphoglycerate mutase family member 5 to regulate mitophagy.
Autophagy_dependent_cell_death	MIR335	microRNA 335	ENSG00000199043.1	miRNA	34699311	MiR-335-5p can alleviate inflammatory response, airway fibrosis, and autophagy in childhood asthma through targeted regulation of ATG5.
Autophagy_dependent_cell_death	MIR372	microRNA 372	ENSG00000199095.1	miRNA	24991827	MIR-373 is related to autophagy. MIR-373 can regulate autophagy by inhibiting the expression of METTL3 and releasing TFEB. CREB can alleviate autophagic blockage and cell apoptosis by regulating the expression of MIR-373, thus relieving osteoarthritis injury.
Autophagy_dependent_cell_death	MIR373	microRNA 373	ENSG00000199143.1	miRNA	35756079	MiR-373 is a key regulating factor that directly targets METTL3 and facilitates the release of specific proteins (TFEB) that maintain the survival and autophagy levels of chondrocytes.
Autophagy_dependent_cell_death	MIR375	microRNA 375	ENSG00000198973.4	miRNA	22929050	Autophagy facilitates the survival of liver cancer cells exposed to hypoxia, but downregulated MIR375 inhibits autophagy activation under hypoxic conditions, which restricts tumour growth. Restoring MIR375's function impairs tumour cell viability, suppresses mitophagy, and hence retards tumour growth.
Autophagy_dependent_cell_death	MIR421	microRNA 421	ENSG00000202566.4	miRNA	32818653	 K73-03 can regulate SPINK1 transcription by up-regulating MIR421, leading to down-regulation of the expression of autophagy regulator Beclin-1 and the occurrence of autophagy. Furthermore, K73-03 can inhibit the growth of pancreatic cancer cells and induce apoptosis by inducing autophagy and mitochondrial damage.
Autophagy_dependent_cell_death	MIR423	microRNA 423	ENSG00000283935.1	miRNA	25782064	MIR423-5p was validated as a positive regulator of autophagy in hepatocellular carcinoma (HCC) cell lines following Sorafenib treatment.upregulation was both in vitro and in vivo by Sorafenib treatment, and its increase correlated with response to therapy. HCC cells transfected with MIR showed an increase in autophagic cells, and therefore may be useful in the sensitisation of HCC cells to Sorafenib.
Autophagy_dependent_cell_death	MIR484	microRNA 484	ENSG00000283736.1	miRNA	35195252	MIR484 regulates mitochondrial network by targeting Fis1.MIR484 regulates mitochondrial biogenesis, function, and fission and participates in regulating gene expression, such as FoxO transcription factors. MIR484 is thus linked to autophagy through these mechanisms.
Autophagy_dependent_cell_death	MIR502	microRNA 502	ENSG00000272080.1	miRNA	22580605	MIR502 plays a role in regulating Autophagy by inhibiting the key mediator Rab1B, inhibiting the growth of colon cancer cells.
Autophagy_dependent_cell_death	MIR503	microRNA 503	ENSG00000208005.1	miRNA	29568867	MIR503 can regulate the occurrence of autophagy through the PKA/mTOR signaling pathway. MIR503 triggers autophagy by targeting the PRKACA protein, thereby preventing the proliferation and metastasis of esophageal squamous cell carcinoma cells.
Autophagy_dependent_cell_death	MIR615	microRNA 615	ENSG00000207571.1	miRNA	35712750	Through bioinformatics analysis of the TCGA database, MIR615 was negatively correlated with the expression of MICA and MICB, and might be one of the regulatory factors of these genes.
Autophagy_dependent_cell_death	MIR877	microRNA 877	ENSG00000216101.3	miRNA	30957640	MIR877-3P can protect vascular endothelial cells from high glucose-induced autophagy, thereby reducing endothelial cell damage.
Autophagy_dependent_cell_death	MIR885	microRNA 885	ENSG00000216135.3	miRNA	33510458	MIR885 is a miRNA that regulates TIGAR expression and promotes liver cancer cell proliferation and cell cycle while inhibiting apoptosis and autophagy, enhancing resistance to chemotherapy.
Autophagy_dependent_cell_death	MIR93	microRNA 93	ENSG00000207757.1	miRNA	30654687	MIR93 is differentially expressed in Proneural (PN) and Mesenchymal (MES) subtypes, with higher levels in PN GBM, which is associated with better survival for GBM patients. 
Autophagy_dependent_cell_death	MIR96	microRNA 96	ENSG00000199158.1	miRNA	30345998	The expression of the autophagy signaling molecule mTOR decreases as a result of TiO2 NPs, and miR-96-5p is one of the regulating factors. When the expression of miR-96-5p increases, it targets mTOR and regulates its expression, triggering autophagy in the cells. In addition, miR-96-5p can also target Bcl-2 and affect cell apoptosis.
Autophagy_dependent_cell_death	ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	ENSG00000138363.15	protein_coding	34803509	ATIC inhibits autophagy through the AKT/FOXO3 pathway and promotes the progression of liver cancer in vitro and in vivo.
Autophagy_dependent_cell_death	MTMR14	myotubularin related protein 14	ENSG00000163719.20	protein_coding	20595810	MTMR14 plays an important role in regulating autophagy as a type of myotubularin protein. The modification of PIs is an important mechanism for controlling organelle and membrane traffic, and they also play an important role in the regulation of autophagy. The study explored the correlation between MTMR14 and autophagy dysregulation through double knockdown of MTMR14, which could explain certain pathological conditions such as centronuclear myopathy. The authors also discuss the function of MTMR14 as a modifier of disease severity, rather than a primary cause.
Autophagy_dependent_cell_death	ACER2	alkaline ceramidase 2	ENSG00000177076.6	protein_coding	28294157	P53 directly regulates the transcription of ACER2, significantly stimulating ACER2 expression, and ACER2-mediated autophagy and apoptosis are found to be connected with ROS generation. The interaction of ACER2 with autophagy drives its impact on apoptosis. ACER2 induces autophagy and apoptosis through the production of ROS.
Autophagy_dependent_cell_death	ATP6V0A1	ATPase H+ transporting V0 subunit a1	ENSG00000033627.18	protein_coding	22708544	Knockdown of ATP6V0A1 can strengthen the aggregation of autophagosomes and increase GMI-induced autophagic cell death.
Autophagy_dependent_cell_death	ATP6V0A2	ATPase H+ transporting V0 subunit a2	ENSG00000185344.15	protein_coding	35013112	PHY34 induces autophagy inhibition and tumor cell apoptosis in ovarian cancer cells by inhibiting the ATP6V0A2 subunit localization of proteins.
Autophagy_dependent_cell_death	ATP6V0B	ATPase H+ transporting V0 subunit b	ENSG00000117410.14	protein_coding	37099812	ATP6V0B is a lysosomal proton pump protein that plays a critical role in the formation and maintenance of the endolysosomal system and is an essential component of autophagy. 
Autophagy_dependent_cell_death	ATP6V0C	ATPase H+ transporting V0 subunit c	ENSG00000185883.12	protein_coding	35410580	ATP6V0C in promoting selective autophagy and the mechanism of its interaction with SopF.
Autophagy_dependent_cell_death	ATP6V0D1	ATPase H+ transporting V0 subunit d1	ENSG00000159720.13	protein_coding	32160081	ATP6V0D1 is a key protein in autophagy-related molecular networks in many CNS disorders.
Autophagy_dependent_cell_death	ATP6V0D2	ATPase H+ transporting V0 subunit d2	ENSG00000147614.4	protein_coding	35255774	 ATP6V0D2 is a subunit of the H+-ATPase proton pump and an important component of autophagosomes and osteoclasts.
Autophagy_dependent_cell_death	ATP6V0E1	ATPase H+ transporting V0 subunit e1	ENSG00000113732.9	protein_coding	34989311	ATP6V0E1 plays an important role in both lysosomal function and the autophagic process.
Autophagy_dependent_cell_death	ATP6V0E2	ATPase H+ transporting V0 subunit e2	ENSG00000171130.19	protein_coding	30375985	ATP6V0E2 is a protein that is responsible for acidification inside the cell, and it also plays a role in adjusting acidity in lysosomes. Autophagy is a way for cells to clear waste, and it is critical for the formation of foam cells. The increased expression of ATG5 and P62 reflects the decrease in autophagic flux, which may be caused by the downregulation of ATP6V0E2 expression.
Autophagy_dependent_cell_death	ATP6V1A	ATPase H+ transporting V1 subunit A	ENSG00000114573.12	protein_coding	31285595	ATP6V1A subunit of the lysosomal v-ATPase, a protein complex that regulates mTORC1.
Autophagy_dependent_cell_death	ATP6V1B1	ATPase H+ transporting V1 subunit B1	ENSG00000116039.13	protein_coding	34313551	Although ATP6V1B1 is not mentioned, the V-ATPase complex it is part of plays a crucial role in lysosomal function and ALP.
Autophagy_dependent_cell_death	ATP6V1B2	ATPase H+ transporting V1 subunit B2	ENSG00000147416.11	protein_coding	30720463	ATP6V1B2 mutations are associated with the activation of autophagy and the maintenance of mTOR/TOR state,?ATP6V1B2 mutations can also promote pyroptosis.
Autophagy_dependent_cell_death	ATP6V1C1	ATPase H+ transporting V1 subunit C1	ENSG00000155097.12	protein_coding	33183740	ATP6V1C1 enhances resistance to radiotherapy-induced death, and promotes Autophagy through the PI3K/AKT/mTOR pathway.
Autophagy_dependent_cell_death	ATP6V1C2	ATPase H+ transporting V1 subunit C2	ENSG00000143882.12	protein_coding	34899276	ATP6V1C2 encodes vacuolar-H+ ATPase (V-ATPase), which is essential for lysosome/vacuole acidification and affects cellular processes such as endocytosis, vacuole fusion, and protein degradation. Additionally, ATP6V1C2 modulates the concentration of neurotransmitters into synaptic vesicles and is crucial in synaptic transmission.
Autophagy_dependent_cell_death	ATP6V1D	ATPase H+ transporting V1 subunit D	ENSG00000100554.12	protein_coding	30894069	ATP6V1D is one of the active V-ATPase subunits involved in lysosomal acidification,  related to the role of lysosome in autophagy.
Autophagy_dependent_cell_death	ATP6V1E1	ATPase H+ transporting V1 subunit E1	ENSG00000131100.13	protein_coding	29257951	ATP6V1E1 is related to Autophagy through the Autophagy-related gene Atg5.
Autophagy_dependent_cell_death	ATP6V1G1	ATPase H+ transporting V1 subunit G1	ENSG00000136888.8	protein_coding	34545708	Oxidized stress-induced ATM activation phosphorylates ATP6V1G1, maintaining lysosomal acidification to facilitate the fusion of autophagosomes.
Autophagy_dependent_cell_death	ATP6V1G2	ATPase H+ transporting V1 subunit G2	ENSG00000213760.11	protein_coding	27704156	ATP6V1G2 is an ATPase subunit involved in the acidification process of lysosomes, and thus involved in autophagy in cells. Treatment with ¦Á-Cypermethrin led to overexpression of the ATP6V1G2 gene, indicating changes in the cell autophagy pathway caused by this insecticide.
Autophagy_dependent_cell_death	ATP6V1H	ATPase H+ transporting V1 subunit H	ENSG00000047249.18	protein_coding	33966596	ATP6V1H can be regulated by CREG1,CREG1 can promote the formation and maintenance of lysosomal function, thus accelerating the process of autophagy. 
Autophagy_dependent_cell_death	FTH1	ferritin heavy chain 1	ENSG00000167996.16	protein_coding	31679460	FTH1 is regulated by autophagy, which leads to high levels of iron ions that induce iron-dependent lipid peroxidation, ultimately resulting in cell death.
Autophagy_dependent_cell_death	FTL	ferritin light chain	ENSG00000087086.15	protein_coding	32677906	By interfering with FTL activity, ADI inhibits the protein that stores iron in the cytosol while activating the mitochondrial apoptosis pathway. When arginine is deficient, the process of chromatin autophagy appears at a later stage, stimulating cancer cells to use histone arginine and accelerating cancer cell death.
Autophagy_dependent_cell_death	GAPDH	glyceraldehyde-3-phosphate dehydrogenase	ENSG00000111640.15	protein_coding	35289711	GAPDH (GAPC in plants) interacts with phosphatidic acid and inhibits autophagy. It competes with the autophagy-related protein ATG3 for binding to phosphatidic acid at the same binding interface.
Cuproptosis	GLS	glutaminase	ENSG00000115419.14	protein_coding	35298263	Negative hits. To identify the specific metabolic pathways that mediate copper toxicity, we performed genome-wide CRISPR-Cas9 loss-of-function screens to identify the genes involved in copper ionophore_induced death.
Cuproptosis	PPAT	phosphoribosyl pyrophosphate amidotransferase	ENSG00000128059.8	protein_coding	35298263	Mass spectrometric analysis also revealed that copper ionophore treatment leads to loss of Fe-S cluster proteins (Fig. 6, A and B) in an FDX1-dependent manner (Fig. 6C) as well as the induction of proteotoxic stress (Fig. 6, B and C; fig. S8A; and table S4). Whether such loss of Fe-S cluster proteins contributes to the copper ionophore death phenotype remains to be determined.
Cuproptosis	LIAS	lipoic acid synthetase	ENSG00000121897.15	protein_coding	35298263	Individual gene knockout studies further confirmed that deletion of FDX1 and LIAS conferred resistance to copper-induced cell death (Fig. 3, F and G, and fig. S4, C to K), further strengthening a functional link between FDX1, the protein lipoylation machinery, and copper toxicity.
Cuproptosis	LIPT1	lipoyltransferase 1	ENSG00000144182.17	protein_coding	35298263	Killing by both compounds was rescued by knockout of seven genes (Fig. 3A, marked in blue), including FDX1 [which encodes a reductase known to reduce Cu2+ to its more toxic form, Cu1+, and to be a direct target of elesclomol (5)] and six genes that encode either components of the lipoic acid pathway [lipolytransferase 1 (LIPT1), lipoyl synthase (LIAS), and dihydrolipoamide dehydrogenase (DLD)] or protein targets of lipoylation [the pyruvate dehydrogenase (PDH) complex, including dihydrolipoamide S-acetyltransferase (DLAT), pyruvate dehydrogenase E1 subunit alpha 1 (PDHA1), and pyruvate dehydrogenase E1 subunit beta (PDHB)] (26) (Fig. 3D).
Cuproptosis	DLD	dihydrolipoamide dehydrogenase	ENSG00000091140.15	protein_coding	35298263	These observations were validated by an independent knockout screen that focused on 3000 metabolic enzymes (27) (Fig. 3E; fig. S4, A and B; and table S2).
Cuproptosis	DLAT	dihydrolipoamide S-acetyltransferase	ENSG00000150768.17	protein_coding	35298263	These observations were validated by an independent knockout screen that focused on 3000 metabolic enzymes (27) (Fig. 3E; fig. S4, A and B; and table S2).
Cuproptosis	PDHA1	pyruvate dehydrogenase E1 subunit alpha 1	ENSG00000131828.14	protein_coding	35298263	Killing by both compounds was rescued by knockout of seven genes (Fig. 3A, marked in blue), including FDX1 [which encodes a reductase known to reduce Cu2+ to its more toxic form, Cu1+, and to be a direct target of elesclomol (5)] and six genes that encode either components of the lipoic acid pathway [lipolytransferase 1 (LIPT1), lipoyl synthase (LIAS), and dihydrolipoamide dehydrogenase (DLD)] or protein targets of lipoylation [the pyruvate dehydrogenase (PDH) complex, including dihydrolipoamide S-acetyltransferase (DLAT), pyruvate dehydrogenase E1 subunit alpha 1 (PDHA1), and pyruvate dehydrogenase E1 subunit beta (PDHB)] (26) (Fig. 3D).
Cuproptosis	PDHB	pyruvate dehydrogenase E1 subunit beta	ENSG00000168291.13	protein_coding	35298263	Killing by both compounds was rescued by knockout of seven genes (Fig. 3A, marked in blue), including FDX1 [which encodes a reductase known to reduce Cu2+ to its more toxic form, Cu1+, and to be a direct target of elesclomol (5)] and six genes that encode either components of the lipoic acid pathway [lipolytransferase 1 (LIPT1), lipoyl synthase (LIAS), and dihydrolipoamide dehydrogenase (DLD)] or protein targets of lipoylation [the pyruvate dehydrogenase (PDH) complex, including dihydrolipoamide S-acetyltransferase (DLAT), pyruvate dehydrogenase E1 subunit alpha 1 (PDHA1), and pyruvate dehydrogenase E1 subunit beta (PDHB)] (26) (Fig. 3D).
Entotic_cell_death	PIK3C3	phosphatidylinositol 3-kinase catalytic subunit type 3	ENSG00000078142	protein_coding	28847720	LAP bridges phagocytosis and autophagy; this process is regulated by the core LC3 lipidation machinery (e.g., ATG5, ATG7, class III phosphatidylinositol 3-kinase complex [e.g., phosphatidylinositol 3-kinase catalytic subunit type 3 (PI3KC3), also known as VPS34], phosphoinositide-3-kinase regulatory subunit 4 [PIK3R4, also known as VPS15], and BECN1), cytochrome B-245 beta chain (CYBB, also known as NOX2)- mediated ROS production.
Ferroptosis	CS	citrate synthase	ENSG00000062485.19	protein_coding	22632970	Required in erastin-induced ferroptosis. Silencing of it conferred against erastin-induced ferroptosis.
Ferroptosis	G6PD	glucose-6-phosphate dehydrogenase	ENSG00000160211.20	protein_coding	22632970	Required in erastin-induced ferroptosis.
Ferroptosis	PGD	phosphogluconate dehydrogenase	ENSG00000142657.21	protein_coding	22632970	Required in erastin-induced ferroptosis.
Ferroptosis	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha	ENSG00000121879.6	protein_coding	24739485	Inhibitor blocked ferroptotic cell death.
Ferroptosis	SCP2	sterol carrier protein 2	ENSG00000116171.19	protein_coding	25402683	SCP-2 inhibitors showed anti-ferroptotic activity, which was substantiated by knocking down SCP-2 in Gpx4_?_?cells.
Ferroptosis	ACSL4	acyl-CoA synthetase long chain family member 4	ENSG00000068366.21	protein_coding	25965523	Deletion of this gene likely suppress ferroptosis by limiting the membrane-resident pool of oxidation-sensitive fatty acids.
Ferroptosis	LPCAT3	lysophosphatidylcholine acyltransferase 3	ENSG00000111684.11	protein_coding	25965523	Deletion of this gene likely suppress ferroptosis by limiting the membrane-resident pool of oxidation-sensitive fatty acids.
Ferroptosis	GLS2	glutaminase 2	ENSG00000135423.13	protein_coding	26166707	Both inhibitor inhibition and gene knockdown inhibit ferroptotic cell death.
Ferroptosis	GOT1	glutamic-oxaloacetic transaminase 1	ENSG00000120053.12	protein_coding	26166707	RNAi reduced ferroptosis.
Ferroptosis	ALOX5	arachidonate 5-lipoxygenase	ENSG00000012779.12	protein_coding	26235588	The 5-Lipoxygenase inhibitor zileuton protected HT22 neuronal cells from erastin-induced ferroptosis.
Ferroptosis	HMOX1	heme oxygenase 1	ENSG00000100292.18	protein_coding	26405158	Zinc protoporphyrin IX, a HO-1 inhibitor, prevented Erastin-triggered ferroptotic cancer cell death. Overexpression accelerates erastin-induced cell death.
Ferroptosis	GLS2	glutaminase 2	ENSG00000135423.13	protein_coding	27034505	Upregulated in erastin-treated wild-type MEFs, and silencing Gls2 exihibits cell death defect in wild-type MEFs treated with erastin.
Ferroptosis	ALOX5	arachidonate 5-lipoxygenase	ENSG00000012779.12	protein_coding	27506793	Silencing ALOX genes made cells resistant to ferroptosis.
Ferroptosis	ALOX12	arachidonate 12-lipoxygenase, 12S type	ENSG00000108839.12	protein_coding	27506793	Silencing ALOX genes made cells resistant to ferroptosis.
Ferroptosis	ALOX12B	arachidonate 12-lipoxygenase, 12R type	ENSG00000179477.11	protein_coding	27506793	Silencing ALOX genes made cells resistant to ferroptosis.
