ID	LncRNA name	Species	Biological processes	Cellular component	Molecular fucntions	Clinical applications	Disease	Disease category	drug Resistance/chemoresistance/stress	Mutation	Methods	Sample	Organoid	Expression pattern	Function type	Interaction target	Mode of interaction	Expression pattern of Interaction target	Level of interaction	Type of interaction	Detailed Pathway	PMID	Year	Description of disease/function/interaction
EL1475	FENDRR	Homo sapiens	EMT	N/A	Signaling pathways regulation	Inhibit disease	non-small cell lung cancer	Cancer	N/A	N/A	knockdown	NSCLC tumor and matched normal samples	N/A	down-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	FOXF1-AS1丨regulate丨EMT, stemness and metastasis of NSCLC cells丨via丨EZH2	27577075	2016	Stable overexpression of FOXF1-AS1 inhibits lung cancer cell migration and invasion by regulating EMT.
EL1475	FENDRR	Homo sapiens	Disease-relevant functions	Cytoplasm	Gene regulation	Therapeutic target	osteosarcoma	Cancer	N/A	N/A	qRT-PCR, RIP	osteosarcoma tissues and cell lines	N/A	down-regulated	interaction	EZH2	Regulate	up-regulated	lncRNA-Protein	binding	TARID | bind | EZH2 | downregulate | GIT1 |inhibit|the progression of osteosarcoma	32945076	2020	The present findings indicate that lincFOXF1 is involved in the progression of osteosarcoma through binding with EZH2, further regulating GIT1 expression.
EL1475	FENDRR	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Prognosis	renal cell carcinoma	Cancer	N/A	N/A	qRT-PCR, RIP, overexpression, knockdown	renal cell carcinoma tissues.	N/A	down-regulated	interaction	KMT2A	Regulate	down-regulated	lncRNA-Protein	binding	FENDRR丨bind丨PRC2 and KMT2A|inhibit|renal cell carcinoma	30655744	2019	Downregulation of long noncoding RNA FENDRR predicts poor prognosis in renal cell carcinoma.
EL1476	FER1L4	Homo sapiens	cell proliferation, migration, invasion and EMT progress	N/A	Signaling pathways regulation	Therapeutic target	non-small cell lung cancer	Cancer	N/A	N/A	knockdown, overexpression, rescue assay	NSCLC plasma and tissues and lung cancer cell lines compared to corresponding controls	N/A	down-regulated	interaction	PTEN	Regulate	up-regulated	lncRNA-Protein	regulation	FER1L4|inactivate| PTEN/AKT/p53 signaling pathway|inhibit| lung cancer	33416121	2021	Long non-coding RNA FER1L4 inhibits cell proliferation and promotes cell apoptosis via the PTEN/AKT/p53 signaling pathway in lung cancer.
EL1478	FEZF1-AS1	Homo sapiens	EMT	N/A	Recruiting protein complexes	Promote disease	non-small cell lung cancer	Cancer	N/A	N/A	qRT-PCR, ChIP,RIP, western blot, knockdown	NSCLC tissues and adjacent normal tissues	N/A	up-regulated	interaction	EZH2	Regulate	up-regulated	lncRNA-Protein	binding	FEZF1-AS1丨bind丨LSD1 and EZH2丨downregulate丨expression of E-cadherin丨promote丨 NSCLC	28858731	2017	LncRNA FEZF1-AS1 enhances epithelial-mesenchymal transition (EMT) through suppressing E-cadherin and regulating WNT pathway in non-small cell lung cancer (NSCLC).
EL1491	FIRRE	Homo sapiens	Cell proliferation	N/A	Gene regulation	Disease treatment	hepatocellular carcinoma	Cancer	N/A	N/A	knockdown, overexpression	hepatocellular carcinoma cells	N/A	up-regulated	interaction	PFKFB4	Regulate	down-regulated	lncRNA-Protein	regulation	FIRRE|upregulate|PFKFB4 |promote| the proliferation and glycolysis of hepatocellular carcinoma cells	34093813	2021	Long noncoding RNA FIRRE contributes to the proliferation and glycolysis of hepatocellular carcinoma cells by enhancing PFKFB4 expression.
EL1514	FOX4-AS1	Homo sapiens	Cell proliferation	N/A	Recruiting protein complexes	Promote disease	gastric cancer	Cancer	N/A	N/A	qRT-PCR,RIP,western blot	GC tissues	N/A	up-regulated	interaction	EZH2	Regulate	up-regulated	lncRNA-Protein	binding	FOXP4-AS1丨bind 丨LSD1 /EZH2丨promote丨 GC	31646567	2019	FOXP4-AS1 binds to EZH2/LSD1 to form a carcinogenic complex, thus accelerating GC cells to proliferate, migrate and invade
EL1516	FOXC2-AS1	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Promote disease	non-small cell lung cancer	Cancer	N/A	N/A	Knockdown, rescue experiments	NSCLC cells' (A549, H460)	N/A	up-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	FOXC2-AS1丨aggravate丨NSCLC丨oncogenesis丨through丨repressing丨p15 expression丨via丨interacting丨 EZH2	31396359	2019	FOXC2-AS1 could aggravate NSCLC oncogenesis through repressing p15 expression via interacting EZH2
EL1516	FOXC2-AS1	Homo sapiens	Cell proliferation	N/A	Recruiting protein complexes	Promote disease	melanoma	Cancer	N/A	N/A	qRT-PCR, RIP, ChIP	melanoma cells	N/A	up-regulated	interaction	EZH2	Regulate	down-regulated	lncRNA-Protein	regulation	FOXC2-AS1 |downregulate| EZH2|upregulate|p15|promote| proliferation of melanoma	32964984	2020	FOXC2-AS1 stimulates proliferative ability in melanoma via silencing p15.
EL1520	FOXD2-AS1	Homo sapiens	Disease-relevant functions	N/A	Recruiting protein complexes	Prognosis	gastric cancer	Cancer	N/A	N/A	Loss of function	GC tissues and cell lines	N/A	up-regulated	interaction	EZH2	Regulate	up-regulated	lncRNA-Protein	binding	FOXD2-AS1丨bind丨EZH2 and LSD1|  downregulate|EphB3|promote丨GC tumorigenesis	29789713	2018	Upregulation of the long noncoding RNA FOXD2-AS1 promotes carcinogenesis by epigenetically silencing EphB3 through EZH2 and LSD1, and predicts poor prognosisin gastric cancer.
EL1520	FOXD2-AS1	Homo sapiens	Disease-relevant functions	N/A	Signaling pathways regulation	Promote disease	osteosarcoma	Cancer	N/A	N/A	knockdown	OS tissue and cell lines	N/A	up-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	FOXD2-AS1丨inhibited丨the expression of p21丨via丨interacting with丨EZH2丨to丨silence丨p21 gene expression	31228799	2019	HIF-1α induced long noncoding RNA FOXD2-AS1 promotes the osteosarcoma through repressing p21.
EL1520	FOXD2-AS1	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Promote disease	glioma	Cancer	N/A	N/A	Knockdown, qRT-PCR, western blot, RIP, ChIP	Glioma patients tissues, l Culture normal brain glial cell line (HEB), glioma cell lines (U251, U87, and LN229)	N/A	up-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	FOXD2-AS1丨distributed丨in丨the nucleus丨attenuate丨recruitment ability丨to丨P53丨by丨bounding to丨EZH2	32373975	2020	FOXD2-AS1 stimulated the proliferation of glioma by inhibiting P53, thus aggravating the progression of glioma.
EL1520	FOXD2-AS1	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Disease treatment	glioma	Cancer	N/A	N/A	qRT-PCR	glioma cells	N/A	up-regulated	interaction	EZH2	Regulate	down-regulated	lncRNA-mRNA	binding	FOXD2-As|bind|EZH2|promote|glioma cells	34739394	2021	Curcumol inhibits malignant biological behaviors and TMZ-resistance in glioma cells by inhibiting long noncoding RNA FOXD2-As1-promoted EZH2 activation.
EL1529	FOXP4-AS1	Homo sapiens	Cell proliferation	N/A	Recruiting protein complexes	Promote disease	osteosarcoma	Cancer	N/A	N/A	qRT-PCR, RIP, overexpression	OS tissues and paracancerous tissues	N/A	up-regulated	interaction	EZH2	Regulate	up-regulated	lncRNA-Protein	binding	FOXP4-AS1丨bind丨LSD1 and EZH2丨downregulate丨LATS1丨promote丨OS	29859193	2018	Upregulated FOXP4-AS1 promotes the proliferation, migration and cell cycle, but inhibits apoptosis of OS cells.
EL1529	FOXP4-AS1	Homo sapiens	Disease-relevant functions	N/A	Recruiting protein complexes	Disease treatment	hepatocellular carcinoma	Cancer	N/A	N/A	knockdown	hepatocellular carcinoma cells	N/A	up-regulated	interaction	EZH2	Regulate	up-regulated	lncRNA-mRNA	binding	FOXP4-AS1|bind|EZH2 | downregulate| ZC3H12D|promote|the biological functions of hepatocellular carcinoma cells	34545456	2022	long non-coding RNA FOXP4-AS1 facilitates the biological functions of hepatocellular carcinoma cells via downregulating ZC3H12D by mediating H3K27me3 through recruitment of EZH2.
EL1530	FPASL	Homo sapiens	Cell proliferation	N/A	Gene regulation	Inhibit disease	hypertrophic scar	Others	N/A	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays	fibroblast	N/A	down-regulated	interaction	DNMT3B	Regulate	up-regulated	lncRNA-Protein	regulation	FPASL |by| DNMT3b DNA methylation |suppress| fibroblast proliferation in hypertrophic scar	36514215	2022	FPASL suppresses fibroblast proliferation through its DNA methylation via DNMT3b in hypertrophic scar
EL1575	GAS5	Homo sapiens	Apoptosis	N/A	Signaling pathways regulation	Inhibit disease	ischemic stroke	Others	N/A	N/A	Knockdown, Overexpression, qRT-PCR, western blot, dual-Luciferase reporter, RIP, RNA pull-down, ChIP	patients with first-onset acute ischemic stroke, Newly born C57BL/6 mice	N/A	up-regulated	interaction	DNMT3B	Regulate	N/A	lncRNA-Protein	regulation	GAS5丨induced丨MAP4K4 methylation丨MAP4K4 expression丨through丨the recruitment of DNA methyltransferase 3B (DNMT5B)	31997156	2020	Collectively, the present study highlights that silencing GAS5 may inhibit neuronal apoptosis and improve neurological function in ischemic stroke by suppressing DNMT3B-mediated MAP4K4 methylation, which contributes to better understanding of the pathologies of ischemic stroke and development of novel therapeutic options for this disease.
EL1575	GAS5	Homo sapiens	Apoptosis	N/A	Gene regulation	Inhibit disease	bladder cancer	Cancer	N/A	N/A	qRT-PCR	bladder cancer cells	N/A	down-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	regulation	GAS5丨repressed丨EZH2丨transcription丨by丨interacting with丨E2F4丨recruiting丨E2F4丨to丨EZH2 promoter	29445179	2018	Downregulation of EZH2 by GAS5 resulted in overexpression of miR-101 in T24 and EJ cells. Furthermore, the level of GAS5 was increased under the treatment of Gambogic acid (GA), a promising natural anti-cancer compound, whereas knockdown of GAS5 suppressed the inhibitory effect of GA on cell viability and abolished GA-induced apoptosis in T24 and EJ cells.
EL1575	GAS5	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Disease diagnosis	atherosclerosis	Others	N/A	N/A	knockdown	human monocytic leukemia cell line (THP-1)	N/A	up-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	GAS5丨inhibit丨the expression of ATP-binding cassette transporter A1 (ABCA1)丨by丨binding to丨enhancer of zeste homolog 2 (EZH2)	31830648	2020	GAS5 can inhibit the expression of ATP-binding cassette transporter A1 (ABCA1) by binding to enhancer of zeste homolog 2 (EZH2).
EL1575	GAS5	Homo sapiens	Cell Differentiation	N/A	Gene regulation	Inhibit disease	allergic rhinitis	Others	N/A	N/A	gain- and loss-of-function experiments	AR patient nasal mucus (AR-EXO) , nasal epithelial cells, CD4+ T cells, the percentage of IFN-γ expressing cells (Th1 cells), IL-4 expressing cells (Th2 cells)	N/A	up-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	regulation	LncGAS5丨mediates丨Th1/Th2丨differentiation丨 through丨downregulating丨T-bet and EZH2	31841965	2020	Exosomal long non-coding RNA GAS5 suppresses Th1 differentiation and promotes Th2 differentiation via downregulating EZH2 and T-bet in allergic rhinitis.
EL1575	GAS5	Homo sapiens	Apoptosis	N/A	Gene regulation	Inhibit disease	melanoma	Cancer	N/A	N/A	knockdown, RIP	melanoma tissues and cells	N/A	down-regulated	interaction	EZH2	Regulate	N/A	lncRNA-DNA	regulation	lncRNA GAS5丨attenuated丨EZH2 expression丨by丨recruiting丨E2F4丨to丨the EZH2 promoter region and knockdown of EZH2丨upregulated丨CDKN1C expression丨by丨 inhibiting丨the H3K27me3	32308561	2020	The evidence provided by our study highlighted the involvement of lncRNA GAS5 in the translational suppression of EZH2 as well as the upregulation of CDKN1C, resulting in the promotion of melanoma cell apoptosis and oxidative stress.
EL1575	GAS5	Homo sapiens	Apoptosis	N/A	Gene regulation	Disease diagnosis	malignant melanoma	Cancer	N/A	N/A	western blot, knockdown, RNA co-immunoprecipitation	Samples of MM tumors (≥2-cm surgical margins) and adjacent noncancerous tissues , The A375 and SK-Mel-28 human MM cell lines	N/A	down-regulated	interaction	G6PD	Regulate	N/A	lncRNA-Protein	regulation	GAS5丨induced丨these changes丨through丨a physical interaction between GAS5 and the G6PD protein	30569211	2019	LncRNA GAS5 regulates redox balance and dysregulates the cell cycle and apoptosis in malignant melanoma cells.
EL1575	GAS5	Homo sapiens	Cell proliferation	N/A	Gene regulation	Disease diagnosis	glioma	Cancer	N/A	N/A	qRT-PCR, western blot, overexpression, knockdown	normal glial cells, glioma cells	N/A	up-regulated	interaction	GSTM3	Regulate	N/A	lncRNA-DNA	regulation	GSTM3丨predicted as丨a target gene丨of丨lncRNA GAS5丨by丨bioinformatics analysis	31172354	2019	LncRNA GAS5 regulates the proliferation, migration, invasion and apoptosis of brain glioma cells through targeting GSTM3 expression.
EL1586	GATA6-AS1	Homo sapiens	Disease-relevant functions	N/A	Signaling pathways regulation	Disease diagnosis	gastric cancer	Cancer	N/A	N/A	overexpression	SGC7901 cells	N/A	down-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	Elevated GATA6-AS1丨reduced丨FZD4 expression丨by丨recruiting丨enhancer of zeste homolog 2 (EZH2) and trimethylation at lysine 27 of histone H3 (H3K27me3)丨to丨the FZD4 promoter region丨via丨the inactivated Wnt/β-catenin signaling pathway	31981860	2020	Overexpressed GATA6-AS1 downregulated the expression of FZD4 to inactivate the Wnt/β-catenin signaling pathway, which ultimately inhibited GC progression.
EL1605	GFOD3P	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Disease treatment	non-small cell lung cancer	Cancer	N/A	N/A	knockdown, Luciferase reporter assays, RIP, loss-of-function assays	CRC tissues and cells	N/A	up-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	Long noncoding RNA TP73-AS1丨promotes丨non-small cell lung cancer progression丨by丨 sponging丨miR-449a/EZH2	29803931	2018	An explicit oncogenic role of TP73-AS1 in the NSCLC tumorigenesis, suggesting a TP73-AS1-miR-449a-EZH2 axis and providing new insight for NSCLC tumorigenesis.
EL1605	GFOD3P	Homo sapiens	Cell proliferation	N/A	Signaling pathways regulation	Promote disease	clear cell renal cell carcinoma	Cancer	N/A	N/A	RNA-seq, qRT-PCR, Knockdown, overexpression	40 ccRCC tissues compared with adjacent normal renal tissues	N/A	up-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	TP73-AS1丨suppressed丨KISS1 expression丨through丨the interaction with Enhancer of zeste homolog 2 (EZH2) 丨binding to丨KISS1 gene promoter region	30016766	2018	TP73-AS1 Promotes Cell Proliferation and Inhibits Cell Apoptosis in Clear Cell Renal Cell Carcinoma Through Repressing KISS1 Expression and Inactivation of PI3K/Akt/mTOR Signaling Pathway
EL1612	GIHCG	Homo sapiens	Cell proliferation	N/A	Recruiting protein complexes	Metastasis 	hepatocellular carcinoma	Cancer	N/A	N/A	qRT-PCR,overexpression	HCC tissues , adjacent non-tumor tissues	N/A	up-regulated	interaction	EZH2	Regulate	up-regulated	lncRNA-Protein	binding	GIHCG丨bind丨EZH2 and DNMT1丨downregulate丨mir-200b/a/429 expression|promote| HCC	27380494	2016	GIHCG promotes HCC cells proliferation, migration, and invasion in vitro, and promotes xenografts growth and metastasis in vivo.
EL1622	GLTC	Homo sapiens	Disease-relevant functions	N/A	Recruiting protein complexes	Promote disease	thyroid cancer	Cancer	RAI	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays	thyroid cancer cells	N/A	up-regulated	interaction	LDHA	Regulate	down-regulated	lncRNA-Protein	binding	GLTC|bind|LDHA|promote|thyroid cancer	37031273	2023	GLTC, as a binding partner of LDHA, promotes the succinylation of LDHA at lysine 155 (K155) via competitive inhibition of the interaction between SIRT5 and LDHA, thereby promoting LDHA enzymatic activity.
EL1732	GSEC	Homo sapiens	Metabolic	N/A	Gene regulation	Disease treatment	sepsis	Others	N/A	N/A	knockdown, overexpression	dHL-60 cells	N/A	up-regulated	interaction	PFKFB3	Regulate	up-regulated	lncRNA-Protein	regulation	GSEC|upregulate|PFKFB3| promote| neutrophil inflammatory activation glycolytic metabolism in sepsis.	34907156	2021	Long noncoding RNA GSEC promotes neutrophil inflammatory activation by supporting PFKFB3-involved glycolytic metabolism in sepsis.
EL1735	GSTT1-AS1	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Disease diagnosis	Mycobacterium tuberculosis infection	Others	N/A	N/A	knockdown	CD244(+)CD8(+) T-cell line	N/A	up-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	lncRNA-CD244丨mediates丨H3K27 trimethylation 丨inhibits丨IFN-γ/TNF-α expression丨in CD8(+) T cells	26150504	2015	CD244 expression/signaling in TB correlates with high levels of a long noncoding RNA (lncRNA)-BC050410 [named as lncRNA-AS-GSTT1 (1-72) or lncRNA-CD244] in the CD244(+)CD8(+) T-cell subpopulation. CD244 signaling drives lncRNA-CD244 expression via sustaining a permissive chromatin state in the lncRNA-CD244 locus.
EL1744	H19	Homo sapiens	Cell proliferation	N/A	Transcription regulation	Disease treatment	myocardial infarction	Others	N/A	N/A	knockdown, overexpression	cardiomyocytes	N/A	down-regulated	interaction	CYP1B1	Regulate	up-regulated	lncRNA-Protein	regulation	H19 |upregulate|CYP1B1|inhibit|  myocardial infarction	33389498	2021	lncRNA H19 suppresses pyroptosis of cardiomyocytes to attenuate myocardial infarction in a PBX3/CYP1B1-dependent manner
EL1744	H19	Homo sapiens	Cell Differentiation	N/A	Gene regulation	Disease diagnosis	N/A	N/A	N/A	N/A	qRT-PCR, knockdown, overexpression, western blot	human dental pulp stem cells (hDPSCs)	N/A	up-regulated	interaction	DNMT3B	Regulate	N/A	N/A	regulation	H19/SAHH axis丨regulates丨odontogenic differentiaiton of hDPSCs丨by丨inhibiting丨the DNA methyltransferase 3B (DNMT3B)-mediated methylation of DLX5	30165103	2018	Long non-coding RNA H19/SAHH axis epigenetically regulates odontogenic differentiation of human dental pulp stem cells.
EL1744	H19	Homo sapiens	Autophagy	N/A	Gene regulation	Inhibit disease	breast cancer	Cancer	tamoxifen resistance	N/A	qRT-PCR, Knockdown, overexpression, CHIP, immunofluorescence, western blot	breast cancer cell line and tumor tissues	N/A	up-regulated	interaction	DNMT3B	Regulate	N/A	lncRNA-Protein	regulation	DNMT3B丨binds to丨the Beclin1 promoter region	31340867	2019	The long noncoding RNA H19 promotes tamoxifen resistance in breast cancer via autophagy.
EL1744	H19	Homo sapiens	Apoptosis	N/A	Signaling pathways regulation	Disease treatment	breast cancer	Cancer	paclitaxel (PTX)	N/A	qRT-PCR, knockdown	breast cancer cells	N/A	up-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	regulation	H19丨suppress丨the promoter activity of BIK丨by丨recruiting丨EZH2丨by丨trimethylating丨the histone H3 at lysine 27	27845892	2016	Altered ERα expression may therefore change H19 levels to modulate the apoptosis response to chemotherapy in breast cancer cells. Our data suggest that the ERα-H19-BIK signaling axis plays an important role in promoting chemoresistance.
EL1744	H19	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Disease diagnosis	nasopharyngeal carcinoma	Cancer	N/A	N/A	knockdown	NPC tissues	N/A	up-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	H19丨regulated丨EZH2 expression丨by丨suppressing丨the activity of mir-630丨 interacts丨with H19丨in a sequence-specific manner	27040767	2016	H19 regulated EZH2 expression suppressing the activity of miR-630
EL1744	H19	Homo sapiens	Disease-relevant functions	N/A	Signaling pathways regulation	Disease diagnosis	diabetes mellitus	Others	N/A	N/A	FISH, RNA-pull down, RIP, ChIP, COIP, luciferase reporter gene assay	H19 expression fibroblasts,	N/A	up-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	H19丨promoted丨HIF-1α histone H3K4me3 methylation丨increased丨HIF-1α expression丨by丨recruiting EZH2	30458806	2018	Autologous blood transfusion augments impaired wound healing in diabetic mice by enhancing lncRNA H19 expression via the HIF-1α signaling pathway.
EL1744	H19	Homo sapiens	Apoptosis , Cell proliferation	N/A	Gene regulation	Disease treatment	hepatocellular carcinoma	Cancer	N/A	N/A	qRT-PCR, knockdown, Western blot	hepatocellular carcinoma cells	N/A	up-regulated	interaction	EZH2	Regulate	up-regulated	lncRNA-mRNA	regulation	H19|upregulate|EZH2|activate|Wnt/β-catenin signaling|promote| hepatocellular carcinoma malignant proliferation	34517264	2021	Combination of curcumin with N-n-butyl haloperidol iodide inhibits hepatocellular carcinoma malignant proliferation by downregulating enhancer of zeste homolog 2 (EZH2) - LncRNA H19 to silence Wnt/β-catenin signaling.
EL1744	H19	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Disease treatment	ebv-positive laryngeal carcinoma	Cancer	N/A	N/A	qRT-PCR	EBV-positive laryngeal carcinoma cells	N/A	up-regulated	interaction	EZH2	Regulate	down-regulated	lncRNA-mRNA	regulation	H19 |downregulate|EZH2|promote|EBV-positive laryngeal carcinoma.	34825669	2021	The association between LncRNA H19 and EZH2 expression in patients with EBV-positive laryngeal carcinoma.
EL1755	HAGLR	Homo sapiens	Cell proliferation	N/A	Gene regulation	Inhibit disease	lung adenocarcinoma	Cancer	N/A	N/A	knockdown	LUAD cell, in vivo mouse model	N/A	down-regulated	interaction	DNMT1	Regulate	N/A	lncRNA-Protein	binding	HAGLR丨interact with丨DNMT1丨recruit丨DNMT1 on E2F3 promoter丨to丨increase local DNA methylation	31194977	2019	Long non-coding RNA-HAGLR suppressed tumor growth of lung adenocarcinoma through epigenetically silencing E2F1.
EL1755	HAGLR	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Disease diagnosis	gastric cancer	Cancer	cisplatin (DDP) resistance	N/A	knockdown	DDP-resistant gastric cancer tissues and cells.	N/A	up-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	HOXD-AS1丨silenced丨PDCD4丨through丨binding to丨the histone methyltransferase enhancer of zeste homologue 2 (EZH2) on the promoter of PDCD4丨increasing丨H3K27me3	31551012	2019	HOXD-AS1 confers cisplatin resistance in gastric cancer through epigenetically silencing PDCD4 via recruiting EZH2.
EL1758	HAND2-AS1	Homo sapiens	Disease-relevant functions	Nucleus	Recruiting protein complexes	Therapeutic target	female infertility	Others	N/A	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays	endometrial stromal cells	N/A	down-regulated	interaction	DNMT1	Regulate	up-regulated	lncRNA-Protein	binding	HAND2-AS1|bind|DNMT1|regulate|HAND2|inhibit|female infertility and endometrial cancers	37153110	2023	HAND2-AS1 is capable of binding to DNA methyltransferase DNMT1, indicating that HAND2-AS1 governs HAND2 expression epigenetically involving DNA methylation.HAND2 is a critical mediator of progesterone receptor signaling in endometrium.
EL1762	HAS2-AS1	Homo sapiens	Cell proliferation	N/A	Recruiting protein complexes	Therapeutic target	polycystic ovary syndrome	Others	N/A	N/A	qRT-PCR	primary GCs from patients with PCOS	N/A	up-regulated	interaction	EZH2	Regulate	up-regulated	lncRNA-Protein	binding	HAS2-AS1|bind|EZH2|inhibit|TGF-β|promote|Granulosa Cell Dysfunction	35938797	2022	HAS2-AS1 is upregulated in patients with PCOS and represses TGF-β signaling via inducing TGFBR2 promoter region hypermethylation
EL1787	HEIH	Homo sapiens	Cell proliferation	N/A	Gene regulation	Disease treatment	gastric cancer	Cancer	N/A	N/A	qRT-PCR, western blot	Gastric Cancer cells	N/A	up-regulated	interaction	EZH2	Regulate	up-regulated	lncRNA-mRNA	regulation	LncHEIH|upregulate|EZH2| Promote|Gastric Cancer Progression and Stimulating Methylation of the GSDME Promoter	33163491	2020	Exosome-Delivered LncHEIH Promotes Gastric Cancer Progression by Upregulating EZH2 and Stimulating Methylation of the GSDME Promoter
EL1792	HEPFAL	Homo sapiens	Cell proliferation	N/A	Signaling pathways regulation	Inhibit disease	hepatocellular carcinoma	Cancer	N/A	N/A	gain- and loss-of functions assays	HCC cells	N/A	down-regulated	interaction	NSD1	Regulate	up-regulated	lncRNA-Protein	binding	KB-68A7.1|bind|NSD1|Suppress| Wnt/β-Catenin Signalling|inhibit|Hepatocellular Carcinoma	35127520	2022	KB-68A7.1 Inhibits Hepatocellular Carcinoma Development Through Binding to NSD1 and Suppressing Wnt/β-Catenin Signalling.
EL1794	HERES	Homo sapiens	Disease-relevant functions	N/A	Signaling pathways regulation	Disease diagnosis	esophageal squamous cell carcinoma	Cancer	N/A	N/A	ChIP,RIP	ESCC cell lines, xenograft models	N/A	up-regulated	interaction	EZH2	Regulate	up-regulated	lncRNA-Protein	binding	HERES丨bind丨EZH2丨regulate丨CACNA2D3/ SFRP2/ CXXC4丨activate丨Wnt signaling pathways丨promote丨esophageal squamous cell carcinoma	31732666	2019	HERES, a lncRNA that regulates canonical and noncanonical Wnt signaling pathways via interaction with EZH2.
EL1829	HNF1A-AS1	Homo sapiens	Cell proliferation	N/A	Gene regulation	Metastasis 	lung adenocarcinoma	Cancer	N/A	N/A	qRT-PCR, western blot, knockdown, RIP	lung adenocarcinoma tissue, cell lines (A549, SPC-A1, H1650)	N/A	up-regulated	interaction	DNMT1	Regulate	N/A	lncRNA-Protein	regulation	HNF1A-AS1丨promote丨tumor proliferation and metastasis丨by丨regulating丨cyclin D1, E-cadherin, N-cadherin and β-catenin expression.	25863539	2015	HNF1A-AS1 was significantly up-regulated in lung adenocarcinoma tissues compared with corresponding non-tumor tissues, and its expression level was significantly correlated with TNM stage, tumor size, and lymph node metastasis. Moreover, HNF1A-AS1 was determined to promote tumor proliferation and metastasis, both in vitro and in vivo, by regulating cyclin D1, E-cadherin, N-cadherin and β-catenin expression. In addition, the binding of HNF1A-AS1 to DNMT1 may explain its regulation of E-cadherin.
EL1829	HNF1A-AS1	Homo sapiens	Cell proliferation	N/A	Gene regulation	Promote disease	hepatocellular carcinoma	Cancer	N/A	N/A	overexpression, knockdown, Western-blotting, RIP, ChIP	HCC cell lines	N/A	up-regulated	interaction	EZH2	Regulate	N/A	lncRNA-DNA	regulation	HNF1A-AS1丨promoted丨HCC cell丨proliferation丨by丨repressing丨the NKD1 and p21 expression	28292020	2017	By interacting with enhancer of zeste homolog 2 (EZH2), HNF1A-AS1 promoted HCC cell proliferation by repressing the NKD1 and p21 expression.
EL1829	HNF1A-AS1	Homo sapiens	Disease-relevant functions	Nucleus	Recruiting protein complexes	Promote disease	colon cancer	Cancer	N/A	N/A	qRT-PCR, knockdown, Western blot	colorectal cancer (HT-29, HTC116, RKO, and SW480) and normal colon epithelial (CCD841) cells.	N/A	up-regulated	interaction	EZH2	Regulate	up-regulated	lncRNA-Protein	binding	HNF1A-AS1 | bind | EZH2 | promote |colon cancer	35184384	2022	HNF1A-AS1 localized to the nucleus and was found to bind to the enhancer of zeste homolog 2 (EZH2, a member of PRC2 complex) and potentially form RNA-DNA triplexes with DNase 1 accessible sites in the HT-29 genome. These activities of HNF1A-AS1 may contribute to the oncogenic properties
EL1841	HOTAIR	Homo sapiens	proliferation, colony formation, invasion, migration and apoptosis	N/A	Gene regulation	Disease treatment	chronic myelocytic leukemia	Cancer	N/A	N/A	qRT-PCR, knockdown, Western blot, ChIP, FISH	CML patients and normal bone marrow samples from healthy controls mice injected with CML cells	N/A	up-regulated	interaction	DNMT1	Regulate	down-regulated	lncRNA-Protein	binding	HOTAIR | bind | DNA methyltransferase 1 | inhibit | PTEN gene |promote | methylation| inhibit | chronic myelocytic leukemia	33941772	2021	Depleting long noncoding RNA HOTAIR attenuates chronic myelocytic leukemia progression by binding to DNA methyltransferase 1 and inhibiting PTEN gene promoter methylation
