ID	LncRNA name	Species	Biological processes	Cellular component	Molecular fucntions	Clinical applications	Disease	Disease category	drug Resistance/chemoresistance/stress	Mutation	Methods	Sample	Organoid	Expression pattern	Function type	Interaction target	Mode of interaction	Expression pattern of Interaction target	Level of interaction	Type of interaction	Detailed Pathway	PMID	Year	Description of disease/function/interaction	Matches
EL2018	KCNQ1OT1	Homo sapiens	Apoptosis	N/A	Sponging miRNAs	N/A	injury in cardiomyocytes	Others	hydrogen peroxide	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays	cardiomyocytes cells	N/A	up-regulated	interaction	miR-130a-3p	Regulate	down-regulated	lncRNA-miRNA	binding	KCNQ1OT1|bind|miR-130a-3p|upregulate|ZNF3|promote| hydrogen peroxide-induced apoptosis	35989482	2022	lncRNA KCNQ1OT1 deteriorated H2 O2 -mediated injury in cardiomyocytes through upregulating ZNF791 via serving as a molecular sponge for miR-130a-3p	
EL2018	KCNQ1OT1	Homo sapiens	Apoptosis	N/A	Sponging miRNAs	N/A	myocardial infarction	Others	H2O2	N/A	qRT-PCR, Dual-luciferase reporter assays, RIP, ELISA	AC16 cells	N/A	up-regulated	interaction	miR-130a-3p	Regulate	down-regulated	lncRNA-miRNA	binding	KCNQ1OT1|bind|miR-130a-3p|bind|ZNF791|promote|H2 O2 -mediated injury in cardiomyocytes	35989482	2022	lncRNA KCNQ1OT1 contributes to hydrogen peroxide-induced apoptosis, inflammation, and oxidative stress of cardiomyocytes via miR-130a-3p/ZNF791 axis.	
EL2018	KCNQ1OT1	Homo sapiens	Apoptosis , Cell proliferation	N/A	Sponging miRNAs	N/A	esophageal squamous cell carcinoma	Cancer	N/A	N/A	qRT-PCR, knockdown, overexpression	ESCC tissues	N/A	up-regulated	interaction	miR-133b	Regulate	down-regulated	lncRNA-miRNA	binding	KCNQ1|bind|microRNA-133b| promote| the progression of esophageal squamous cell carcinoma	33909822	2021	Long non-coding RNA KCNQ1 overlapping transcript 1 promotes the progression of esophageal squamous cell carcinoma by adsorbing microRNA-133b.	
EL2018	KCNQ1OT1	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	N/A	atherosclerosis	Others	N/A	N/A	knockdown, overexpression	N/A	N/A	up-regulated	interaction	miR-137	Regulate	down-regulated	lncRNA-miRNA	binding	KCNQ1OT1|trans|miR-137	35598525	2022	silencing of KCNQ1OT1 suppresses inflammatory response and oxidative stress induced by ox-LDL through the miR-137/TNFAIP1 pathway in THP-1 macrophages	
EL2018	KCNQ1OT1	Homo sapiens	Disease-relevant functions	N/A	Signaling pathways regulation	N/A	epilepsy	Others	N/A	N/A	luciferase assays, Microarray, knockdown, overexpression	HBMEC/PHT cells	N/A	up-regulated	interaction	miR-138-5p	Regulate	N/A	lncRNA-miRNA	regulation	MiR-138-5p丨directly丨target丨the transcripts of丨KCNQ1OT1丨and丨NF-κB p65	31920517	2019	KCNQ1OT1 contributes to AED resistance through the miR-138-5p/NF-κB/ABCB1 axis in HBMEC/PHT cells	
EL2018	KCNQ1OT1	Homo sapiens	Apoptosis	N/A	Gene regulation	N/A	cerebral ischemia/reperfusion injury	Others	N/A	N/A	overexpression, RAP	plasma of cerebral	N/A	up-regulated	interaction	miR-140-3p	Regulate	down-regulated	lncRNA-miRNA	binding	KCNQ1OT1|inhibit|miR-140-3P| Exacerbate| Ischemia-Reperfusion Injury	32519270	2020	KCNQ1OT1 Exacerbates Ischemia-Reperfusion Injury Through Targeted Inhibition of miR-140-3P	
EL2018	KCNQ1OT1	Homo sapiens	EMT	N/A	Sponging miRNAs	N/A	pituitary adenoma	Cancer	N/A	N/A	qRT-PCR	PA cells	N/A	up-regulated	interaction	miR-140-5p	Regulate	down-regulated	lncRNA-miRNA	binding	KCNQ1OT1|bind|miR-140-5p	35432529	2022	lncRNA KCNQ1OT1 Promotes EMT, Angiogenesis, and Stemness of Pituitary Adenoma by Upregulation of RAB11A.	
EL2018	KCNQ1OT1	Homo sapiens	Exosome	N/A	Sponging miRNAs	N/A	osteoporosis	Others	N/A	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays	osteoporosis cells	N/A	down-regulated	interaction	miR-141-5p	Regulate	up-regulated	lncRNA-miRNA	binding	LncRNA-KCNQ1OT1|bind|miR-141-5p|inhibit|osteoporosis	34712334	2021	KCNQ1OT1-Exos have a more significant inhibitory effect compared to ADSCs-Exos by the function of Sponging miR-141-5p, suggesting that KCNQ1OT1-Exos can be promising agents in osteoporosis treatment.	
EL2018	KCNQ1OT1	Homo sapiens	Cell proliferation	N/A	Sponging miRNAs	N/A	ovarian cancer	Cancer	N/A	N/A	qRT-PCR, Gain and loss-of-function	OC cells and normal cell	N/A	up-regulated	interaction	miR-142-5p	Regulate	N/A	lncRNA-miRNA	binding	KCNQ1OT1丨upregulates丨CAPN10 expression丨via丨sponging丨mir-142-5p丨thus丨promoting丨the proliferation丨and丨migration of丨OC	31909901	2020	KCNQ1OT1 upregulates CAPN10 expression via sponging MIR-142-5p, thus promoting the proliferation and migration of OC.	
EL2018	KCNQ1OT1	Homo sapiens	Disease-relevant functions	N/A	Sponging miRNAs	N/A	bladder cancer	Cancer	N/A	N/A	qRT-PCR, western blot, Immunofluorescence (IF) staining	BC tissue and cell lines	N/A	up-regulated	interaction	miR-145-5p	Regulate	N/A	lncRNA-miRNA	binding	KCNQ1OT1丨sponge丨miR-145-5p丨and丨up-regulated丨the expression of PCBP2	31827399	2019	KCNQ1OT1 serves as competing endogenous RNA (ceRNA) to up-regulate PCBP2 via sponging miR-145-5p in BC progression.	
EL2018	KCNQ1OT1	Homo sapiens	Apoptosis	N/A	Sponging miRNAs	N/A	gastric cancer	Cancer	N/A	N/A	qRT-PCR, dual luciferase reporter assay, knockdown, Western blot	GC tissues and adjacent normal tissues, xenograft tumor model was established with BGC803 tumor cells transfected with sh-KCNQ1OT1	N/A	up-regulated	interaction	miR-145-5p	Regulate	down-regulated	lncRNA-miRNA	binding	KCNQ1OT1|bind|miR-145-5p	33682985	2021	KCNQ1OT1 can promote GC progression through the miR-145-5p/ARF6 axis.	
EL2018	KCNQ1OT1	Homo sapiens	Disease-relevant functions	N/A	Sponging miRNAs	N/A	atherosclerosis	Others	N/A	N/A	qRT-PCR, knockdown, Western blot, overexpression	ApoE-/- mice, THP-1 cells	N/A	up-regulated	interaction	miR-145-5p	Regulate	down-regulated	lncRNA-miRNA	binding	KCNQ1OT1|bind|miR-145-5p|promote|atherosclerosis	34464666	2022	lncRNA KCNQ1OT1 depletion inhibits the malignant development of atherosclerosis by miR-145-5p.	
EL2018	KCNQ1OT1	Homo sapiens	Disease-relevant functions	N/A	Signaling pathways regulation	N/A	preeclampsia	Others	N/A	N/A	qRT-PCR, western blot, knockdown, Luciferase reporter assays	placenta tissues	N/A	down-regulated	interaction	miR-146a-3p	Regulate	up-regulated	lncRNA-miRNA	regulation	KCNQ1OT1|downregulate| miR-146a-3p|activate| CXCL12/CXCR4 pathway|inhibit|preeclampsia	32854478	2020	KCNQ1OT1 could target the regulation of miR-146a-3p through CXCL12/CXCR4 pathway in the proliferation, invasion an migration of HTR8/SVneo cells,	
EL2018	KCNQ1OT1	Homo sapiens	Disease-relevant functions	N/A	Sponging miRNAs	Cytoplasm	hepatocellular carcinoma	Cancer	N/A	N/A	qRT-PCR, western blot, Luciferase reporter assay, Transwell assay	HCC cell	N/A	up-regulated	interaction	miR-146a-5p	Regulate	down-regulated	lncRNA-miRNA	binding	KCNQ1OT1|bind|miR-146a-5p|upregulate|ACER3|promote|the tumorigenesis of hepatocellular carcinoma	32936716	2020	Our study suggested that KCNQ1OT1 improved ACER3 expression to regulate the radiosensitivity and tumorigenesis of HCC through sponging miR-146a-5p, indicating that KCNQ1OT1 might be a new therapeutic target for HCC.	
EL2018	KCNQ1OT1	Homo sapiens	Apoptosis	N/A	Signaling pathways regulation	N/A	glioma	Cancer	Sevoflurane	N/A	Overexpression, knockdown, qRT-PCR, dual-luciferase reporter	xenograft models, glioma A172 and U251 cells	N/A	up-regulated	interaction	miR-146b-5p	Regulated	down-regulated	lncRNA-miRNA	binding	KCNQ1OT1 | cobind | miR-146b-5p | promote | stanniocalcin-1 (STC1) expression inhibit glioma cell proliferation, apoptosis, migration, and invasion	32996777	2020	KCNQ1OT1 could positively regulate STC1 by acting as miR-146b-5p decoy. KCNQ1OT1 knockdown mediated the role of Sev in glioma cell proliferation, apoptosis, migration, and invasion both in vitro and in vivo through miR-146b-5p/STC1 pathway.	
EL2018	KCNQ1OT1	Homo sapiens	Disease-relevant functions	N/A	Signaling pathways regulation	N/A	diabetic nephropathy	Others	N/A	N/A	knockdown, overexpression	Blood samples from patients with DN	N/A	up-regulated	interaction	miR-147a	Regulate	differential expression	lncRNA-miRNA	binding	KCNQ1OT1|trans|miR-147a	34911869	2022	Downregulation of miR-147a or upregulation of SOX6 partly overturned the prohibitive effects of KCNQ1OT1 knockdown or miR-147a overexpression on proliferation, ECM accumulation, inflammation, and oxidative stress in HG-treated HGMC cells.	
EL2018	KCNQ1OT1	Homo sapiens	Disease-relevant functions	N/A	Sponging miRNAs	N/A	cerebral ischemia/reperfusion induced neuronal injury	Others	N/A	N/A	qRT-PCR, western blot, overexpression, Luciferase reporter assays, knockdown	cells of cerebral I/R induced neuronal injury	N/A	up-regulated	interaction	miR-153-3p	Regulate	down-regulated	lncRNA-miRNA	binding	KCNQ1OT1 | bind | miR-153-3p | activate | Foxo3a | promote | OGD/R-induced neuronal injury at least partially	32912499	2020	LncRNA-KCNQ1OT1 promotes OGD/R-induced neuronal injury at least partially through acting as a competing endogenous RNA (ceRNA) for miR-153-3p to regulate Foxo3a expression, suggesting LncRNA-KCNQ1OT1 as a potential therapeutic target for cerebral I/R injury.	
EL2018	KCNQ1OT1	Homo sapiens	Cell Differentiation	N/A	Gene regulation	N/A	retinoblastoma	Cancer	N/A	N/A	Luciferase reporter assays, knockdown, qRT-PCR	retinoblastoma cells	N/A	up-regulated	interaction	miR-153-3p	Regulate	down-regulated	lncRNA-miRNA	binding	KCNQ1OT1|bind|miR-153-3p|upregulate| HIF-1α|promote|retinoblastoma	33051357	2020	lncRNA KCNQ1OT1 promotes the proliferation, migration and invasion of retinoblastoma cells by upregulating HIF-1α via sponging miR-153-3p.	
EL2018	KCNQ1OT1	Homo sapiens	Disease-relevant functions	N/A	Sponging miRNAs	N/A	N/A	N/A	N/A	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays	Odontoblastic cells	N/A	up-regulated	interaction	miR-153-3p	Regulate	down-regulated	lncRNA-miRNA	binding	LncKCNQ1OT1|bind|has-miR-153-3p|upregulate|RUNX2|promote|Odontoblastic Differentiation	36359902	2022	LncKCNQ1OT1 Promotes the Odontoblastic Differentiation of Dental Pulp Stem Cells via Regulating hsa-miR-153-3p/RUNX2 Axis.	
EL2018	KCNQ1OT1	Homo sapiens	Apoptosis , Cell proliferation	N/A	Sponging miRNAs	N/A	osteosarcoma	Cancer	N/A	N/A	knockdown	osteosarcoma cells	N/A	up-regulated	interaction	miR-154-3p	Regulate	down-regulated	lncRNA-miRNA	binding	KCNQ1OT1|bind| miR-154-3p|upregulate|KLF12|promotes osteosarcoma progression	34956453	2021	Long noncoding RNA KCNQ1 opposite strand/antisense transcript 1 promotes osteosarcoma progression through miR-154-3p/KLF12.	
EL2018	KCNQ1OT1	Homo sapiens	Cell proliferation	N/A	Sponging miRNAs	N/A	type 2 diabetes mellitus	Others	N/A	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays	Pancreatic β-cell	N/A	down-regulated	interaction	miR-15b-5p	Regulate	up-regulated	lncRNA-miRNA	binding	Kcnq1ot1|bind|miR-15b-5p|upregulate|Ccnd1/Ccnd2|promote|β-cell proliferation and insulin secretion	35347427	2022	Downregulation of Kcnq1ot1 attenuates β-cell proliferation and insulin secretion via the miR-15b-5p/Ccnd1 and Ccnd2 axis	
EL2018	KCNQ1OT1	Homo sapiens	Cell proliferation	N/A	Sponging miRNAs	N/A	diabetes mellitus	Others	N/A	N/A	qRT-PCR, knockdown	db/db mice and diet-induced obese mice, patients with type 2 diabetes	N/A	down-regulated	interaction	miR-15b-5p	Regulate	up-regulated	lncRNA-miRNA	binding	KCNQ1OT1|bind|miR-15b-5p|upregulate|Ccnd1 and Ccnd2|inhibit|diabetes	35347427	2022	Downregulation of Kcnq1ot1 attenuates β-cell proliferation and insulin secretion via the miR-15b-5p/Ccnd1 and Ccnd2 axis.	
EL2018	KCNQ1OT1	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Cytoplasm	diabetic cardiomyopathies	Others	N/A	N/A	Western blot, overexpression, Luciferase reporter assays	Human Cardiac Myocytes	N/A	up-regulated	interaction	miR-181a-5p	Regulate	down-regulated	lncRNA-miRNA	regulation	KCNQ1OT1| regulate|miR-181a-5p| down-regulate	33907874	2021	KCNQ1OT1 knockdown reduced the expression of PDCD4 via regulating miR-181a-5p and inhibited myocardial inflammation and cardiomyocyte apoptosis in the in vivo DCM model.	
EL2018	KCNQ1OT1	Homo sapiens	Apoptosis	N/A	Sponging miRNAs	N/A	diabetic cardiomyopathy	Others	N/A	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays, ELISA	in high glucose (HG)-treated human cardiomyocytes and in streptozotocin (STZ)-induced diabetic mice	N/A	up-regulated	interaction	miR-181a-5p	Regulate	down-regulated	lncRNA-miRNA	binding	KCNQ1OT1| bind| miR-181a-5p| upregulate| PDCD5| contributing to cardiomyocyte apoptosis in diabetic cardiomyopathy.	33907874	2021	Long non-coding RNA KCNQ1OT1 increases the expression of PDCD4 by targeting miR-181a-5p, contributing to cardiomyocyte apoptosis in diabetic cardiomyopathy.	
EL2018	KCNQ1OT1	Homo sapiens	Apoptosis	N/A	Signaling pathways regulation	N/A	oral squamous cell carcinoma	Cancer	N/A	N/A	qRT-PCR, knockdown, western blot, Luciferase reporter assays,	OSCC tissues and cells	N/A	up-regulated	interaction	miR-185-5p	Regulate	N/A	lncRNA-miRNA	binding	KCNQ1OT1丨bind with丨miR-185-5p	31755091	2019	KCNQ1OT1 promotes migration and inhibits apoptosis by modulating miR-185-5p/Rab14 axis in oral squamous cell carcinoma.	
EL2018	KCNQ1OT1	Homo sapiens	Disease-relevant functions	N/A	Sponging miRNAs	N/A	diabetic nephropathy	Others	N/A	N/A	qRT-PCR, western blot, overexpression, knockdown, Luciferase reporter assays	Human glomerular mesangial cells (HGMCs), human renal glomerular endothelial cells (HRGECs)	N/A	up-regulated	interaction	miR-18b-5p	Regulate	down-regulated	lncRNA-miRNA	binding	KCNQ1OT1 | bind | miR-18b-5p | upregulate | SORBS2 | promote | cell proliferation, apoptosis and fibrosis	32905431	2020	LncRNA KCNQ1OT1 affects cell proliferation, apoptosis and fibrosis through regulating miR-18b-5p/SORBS2 axis and NF-ĸB pathway in diabetic nephropathy.	
EL2018	KCNQ1OT1	Homo sapiens	Disease-relevant functions	N/A	Sponging miRNAs	N/A	acute myeloid leukemia	Cancer	adriamycin (ADR)	N/A	qRT-PCR, western blot, luciferase reporter assay, RIP,RNA pull-down, knockdown	ADR resistant AML samples and cells	N/A	up-regulated	interaction	miR-193a-3p	Regulate	N/A	lncRNA-miRNA	binding	KCNQ1OT1丨aggravates丨AML progression丨and丨chemoresistance丨to丨ADR丨 by丨inducing丨Tspan3 expression丨via丨adsorbing丨miR-193a-3p丨in丨ADR resistant AML cells	31837329	2020	KCNQ1OT1 aggravates AML progression and chemoresistance to ADR by inducing Tspan3 expression via adsorbing miR-193a-3p in ADR resistant AML cells	
EL2018	KCNQ1OT1	Homo sapiens	ox-LDL-induced proliferation/apoptosis imbalance in vascular smooth muscle cells	N/A	Sponging miRNAs	N/A	atherosclerosis	Others	N/A	N/A	qRT-PCR, Western blot, Dual-luciferase reporter assays, RIP, RNA Pull-down	thoracic aorta tissues, vascular smooth muscle cells	N/A	up-regulated	interaction	miR-196a-5p	Regulate	down-regulated	lncRNA-miRNA	binding	KCNQ1OT1|bind|miR-196a-5p|upregulate|FOXO1|promote|Atherosclerosis	35802988	2022	lncRNA KCNQ1OT1 participates in ox-LDL-induced proliferation/apoptosis imbalance in vascular smooth muscle cells by regulating the miR-196a-5p/FOXO1 axis.	
EL2018	KCNQ1OT1	Homo sapiens	Ox-LDL-Induced Proliferation/Apoptosis Imbalance in Vascular Smooth Muscle Cells	N/A	Sponging miRNAs	N/A	N/A	N/A	oxidation low lipoprotein stimulation	N/A	qRT-PCR, Dual-luciferase reporter assays, RIP, RNA Pull-down	atherosclerosis patients	N/A	down-regulated	interaction	miR-196a-5p	Regulate	up-regulated	lncRNA-miRNA	binding	KCNQ1OT1|bind|miR-196a-5p|downregulate|FOXO1|inhibit|proliferation/apoptosis imbalance in VSMCs	35802988	2022	LncRNA KCNQ1OT1 Participates in Ox-LDL-Induced Proliferation/Apoptosis Imbalance in Vascular Smooth Muscle Cells by Regulating the MiR-196a-5p/FOXO1 Axis.	
EL2018	KCNQ1OT1	Homo sapiens	Cell proliferation	N/A	Sponging miRNAs	N/A	psoriasis	Others	N/A	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays	Keratinocyte	N/A	down-regulated	interaction	miR-200b-3p	Regulate	up-regulated	lncRNA-miRNA	binding	KCNQ1OT1|bind|miR-200b-3p|downregulate|SERP1|promote|skin wound healing|inhibit|psoriasis	35523657	2023	KCNQ1OT1 mediates keratinocyte migration to promote skin wound healing through the miR-200b-3p/SERP1 axis	
EL2018	KCNQ1OT1	Homo sapiens	Apoptosis , Cell proliferation	N/A	Sponging miRNAs	N/A	acute kidney injury	Others	N/A	N/A	knockdown, overexpression	HK-2 cells	N/A	up-regulated	interaction	miR-204-5p	Regulate	down-regulated	lncRNA-miRNA	binding	Kcnq1ot1|bind|miR-204-5p|upregulate|NLRP3| promote| Acute Kidney Injury	34858199	2021	silencing Long Non-coding RNA Kcnq1ot1 Limits Acute Kidney Injury by Promoting miR-204-5p and Blocking the Activation of NLRP3 Inflammasome.	
EL2018	KCNQ1OT1	Homo sapiens	osteogenic differentiation.	N/A	Sponging miRNAs	N/A	osteoporosis	Others	N/A	N/A	overexpression, knockdown, qRT-PCR, Dual-luciferase reporter assay, Western blot	bone marrow mesenchymal stem cells	N/A	down-regulated	interaction	miR-205-5p	Regulate	up-regulated	lncRNA-miRNA	binding	KCNQ1OT1|bind|miR-205-5p|upregulate|RICTOR|inhibit|Osteoporosis	35341776	2022	KCNQ1OT1 might inhibit miR-205-5p in BMSCs, thus upregulating the expression of RICTOR and promoting osteogenic differentiation.	
EL2018	KCNQ1OT1	Homo sapiens	Apoptosis	N/A	Gene regulation	Cytoplasm	nerve injury	Others	N/A	N/A	qRT-PCR, dual-luciferase reporter assay	PC-12 cells treated with ketamine	N/A	up-regulated	interaction	miR-206	Regulate	down-regulated	lncRNA-miRNA	regulation	KCNQ1OT1 |Sponges| miR-206 | Ameliorate Neural Injury |Up-Regulate| BDNF	33204065	2020	KCNQ1OT1/miR-206/BDNF axis is demonstrated to be an important regulatory mechanism in regulating ketamine-induced neural injury	
EL2018	KCNQ1OT1	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	N/A	tongue squamous cell carcinoma	Cancer	N/A	N/A	Luciferase experiments, knockdown,	chemo-insensitive TSCC tissues compared with chemo-sensitive TSCC specimens	N/A	up-regulated	interaction	miR-211-5p	Regulate	N/A	lncRNA-miRNA	regulation	KCNQ1OT1丨facilitates丨tumor growth丨and丨chemo-resistance丨by丨acting as丨a ceRNA丨to丨modulate丨the expression丨of丨miR-211-5p	29970910	2018	KCNQ1OT1 in TSCC growth and chemo-resistance, which may serve as a new target for TSCC therapy.	
EL2018	KCNQ1OT1	Homo sapiens	Cell proliferation	N/A	Sponging miRNAs	N/A	prostate cancer	Cancer	N/A	N/A	qRT-PCR, Western blot, Luciferase reporter assays	PCa cells	N/A	up-regulated	interaction	miR-211-5p	Regulate	down-regulated	lncRNA-miRNA	binding	KCNQ1OT1|bind|miR-211-5p| promote| proliferation, Invasion and Metastasis of Prostate Cancer	33688211	2021	lncRNA KCNQ1OT1 promotes proliferation, Invasion and Metastasis of Prostate Cancer by Regulating miR-211-5p/CHI3L1 pathway	
EL2018	KCNQ1OT1	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	N/A	osteoarthritis	Others	N/A	N/A	knockdown, overexpression	C28/I2 cells, OA tissues , cells	N/A	up-regulated	interaction	miR-211-5p	Regulate	down-regulated	lncRNA-miRNA	regulation	KCNQ1OT1|downregulate|miR-211-5p|upregulate|TCF4|promote| the progression of osteoarthritis	33747189	2021	knockdown of long non-coding RNA KCNQ1OT1 suppresses the progression of osteoarthritis by mediating the miR-211-5p/TCF4 axis in vitro.	
EL2018	KCNQ1OT1	Homo sapiens	Apoptosis	N/A	Gene regulation	N/A	acute kidney injury	Others	N/A	N/A	rescue assay, knockdown, overexpression	acute kidney injury cells	N/A	up-regulated	interaction	miR-212-3p	Regulate	down-regulated	lncRNA-miRNA	regulation	KCNQ1OT1|downregulate|miR-212-3p|upregulate|MAPK1 |activate|p38/NF-κB pathway|promote| acute kidney injury	34783627	2021	KCNQ1OT1 aggravates acute kidney injury by activating p38/NF-κB pathway via miR-212-3p/MAPK1 axis in sepsis. Therefore, KCNQ1OT may serve as a potential biomarker for the prognosis and diagnosis of AKI patients.	
EL2018	KCNQ1OT1	Homo sapiens	Disease-relevant functions	N/A	Sponging miRNAs	N/A	colorectal cancer	Cancer	N/A	N/A	qRT-PCR, knockdown, Western blot, overexpression	CRC tissues , cell	N/A	up-regulated	interaction	miR-216b-5p	Regulate	down-regulated	lncRNA-miRNA	regulation	KCNQ1OT1|bind|miR-216b-5p|upregulate|ZNF146| promote| colorectal cancer progression	33394291	2021	LncRNA KCNQ1OT1 acts as miR-216b-5p sponge to promote colorectal cancer progression via up-regulating ZNF146	
EL2018	KCNQ1OT1	Homo sapiens	Disease-relevant functions	N/A	Sponging miRNAs	N/A	colorectal cancer	Cancer	N/A	N/A	qRT-PCR, knockdown, Western blot, overexpression	patient	N/A	up-regulated	interaction	miR-216b-5p	Regulate	down-regulated	lncRNA-miRNA	binding	LncRNA KCNQ1OT1 |bind|miR-216b-5p | promote colorectal cancer	33394291	2021	LncRNA KCNQ1OT1 acts as miR-216b-5p sponge to promote colorectal cancer	
EL2018	KCNQ1OT1	Homo sapiens	EMT	N/A	Signaling pathways regulation	N/A	colorectal cancer	Cancer	N/A	N/A	knockdown, RIP, dual luciferase reporter assays	CRC samples	N/A	up-regulated	interaction	miR-217	Regulate	N/A	lncRNA-miRNA	binding	KCNQ1OT1丨sponging丨miR-217丨to丨up-regulate丨the expression丨of丨ZEB1	30794031	2019	KCNQ1OT1/miR-217/ZEB1 feedback loop facilitates cell migration and epithelial-mesenchymal transition in colorectal cancer.	
EL2018	KCNQ1OT1	Homo sapiens	Apoptosis	N/A	Sponging miRNAs	N/A	osteoarthritic chondrocyte dysfunction	Others	N/A	N/A	qRT-PCR, knockdown, Overexpression	osteoarthritic chondrocytes	N/A	down-regulated	interaction	miR-218-5p	Regulate	up-regulated	lncRNA-miRNA	binding	KCNQ1OT1|bind|miR-218-5p	33783609	2021	KCNQ1OT1 upregulated PIK3C2A and activated the PI3K/AKT/mTOR pathway to reduce chondrocyte dysfunction by targeting miR-218-5p	
EL2018	KCNQ1OT1	Homo sapiens	hydrogen peroxide-induced lens epithelial cell Apoptosis and oxidative stress	N/A	Sponging miRNAs	N/A	N/A	N/A	N/A	N/A	qRT-PCR, knockdown, Western blot	SRA01/04 cells	N/A	up-regulated	interaction	miR-223-3p	Regulate	down-regulated	lncRNA-miRNA	binding	KCNQ1OT1|bind|miR-223-3p|upregulate|BCL2L2| promote| hydrogen peroxide-induced lens epithelial cell Apoptosis and oxidative stress	33744257	2021	Long non-coding RNA KCNQ1OT1 promotes hydrogen peroxide-induced lens epithelial cell Apoptosis and oxidative stress by regulating miR-223-3p/BCL2L2 axis.	
EL2018	KCNQ1OT1	Homo sapiens	Disease-relevant functions	N/A	Sponging miRNAs	N/A	atrial fibrillation	Others	N/A	N/A	qRT-PCR	right atrial appendage (RAA) tissues	N/A	up-regulated	interaction	miR-223-3p	Regulate	down-regulated	lncRNA-miRNA	binding	KCNQ1OT1|bind|miR-223-3p|promote| atrial fibrillation	34698362	2021	LncRNA KCNQ1OT1 may function as a competitive endogenous RNA in atrial fibrillation by sponging miR-223-3p.	
EL2018	KCNQ1OT1	Homo sapiens	Disease-relevant functions	N/A	Sponging miRNAs	N/A	myocardial injury	Others	hip fracture	N/A	qRT-PCR, Western blot, luciferase reporter assay	myocardial tissue, a hip fracture model, rats model	N/A	down-regulated	interaction	miR-224-3p	Regulate	up-regulated	lncRNA-miRNA	binding	KCNQ1OT1|bind|miR-224-3p|bind|GATA4|promote|myocardial injury	35217336	2022	KCNQ1OT1 attenuates myocardial injury induced by hip fracture via regulating of miR-224-3p/GATA4 axis.	
EL2018	KCNQ1OT1	Homo sapiens	Disease-relevant functions	N/A	Sponging miRNAs	Cytoplasm	podocyte injury	Others	N/A	N/A	qRT-PCR, knockdown, ELISA, western blot, dual-luciferase reporter, RIP	serums of DN	N/A	up-regulated	interaction	miR-23b-3p	Regulate	down-regulated	lncRNA-miRNA	binding	KCNQ1OT1|bind|miR-23b-3p |bind|Sema3A|promote|inflammation, proliferation repression, and apoptosis of podocytes	34997887	2022	HG-induced KCNQ1OT1 promoted inflammation, proliferation repression, and apoptosis of podocytes via increasing Sema3A expression through sponging miR-23b-3p.	
EL2018	KCNQ1OT1	Homo sapiens	Cell proliferation	N/A	Sponging miRNAs	N/A	diabetic nephropathy	Others	N/A	N/A	qRT-PCR, ELISA	HG-treated podocytes	N/A	up-regulated	interaction	miR-23b-3p	Regulate	down-regulated	lncRNA-miRNA	binding	KCNQ1OT1|bind|miR-23b-3p	34997887	2022	KCNQ1OT1 inhibition alleviates high glucose-induced podocyte injury by adsorbing miR-23b-3p and regulating Sema3A.	
EL2018	KCNQ1OT1	Homo sapiens	Cell proliferation	N/A	Sponging miRNAs	N/A	N/A	N/A	N/A	N/A	qRT-PCR, Western blot, overexpression	hPDLSCs	N/A	up-regulated	interaction	miR-24-3p	Regulate	down-regulated	lncRNA-miRNA	binding	KCNQ1OT1|bind|miR-24-3p| promote|the proliferation and osteogenic differentiation of hPDLSCs	34636202	2021	Down-regulation of lncRNA KCNQ1OT1 inhibited the proliferation and osteogenic differentiation of hPDLSCs by targeting the up-regulated expression of miR-24-3p.	
EL2018	KCNQ1OT1	Homo sapiens	Disease-relevant functions	N/A	Sponging miRNAs	N/A	myocardial infarction	Others	N/A	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays	ischemia/reperfusion (I/R) mouse and H/R-induced cell model	N/A	up-regulated	interaction	miR-26a-5p	Regulate	down-regulated	lncRNA-miRNA	binding	KCNQ1OT1 | bind | miR-26a-5p | upregulate | inhibit | autophagy related ATG12 | promote | cardiomyocytes apoptosis	34089766	2021	The circulating LncRNA SNHG15/miR-346 axis may be a potential biomarker of cardiomyocyte apoptosis during myocardial ischemia/reperfusion injury.	
EL2018	KCNQ1OT1	Homo sapiens	Disease-relevant functions	N/A	Signaling pathways regulation	N/A	non-small cell lung cancer	Cancer	N/A	N/A	knockdown	NSCLC tissues and cell lines	N/A	up-regulated	interaction	miR-27b-3p	Regulate	N/A	lncRNA-miRNA	binding	KCNQ1OT1丨modulated丨HSP90AA1 expression丨by丨sponging丨miR-27b-3p	30471108	2019	KCNQ1OT1 facilitates progression of non-small-cell lung carcinoma via modulating miRNA-27b-3p/HSP90AA1 axis.	
